Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,-0.002,0.004,"[-0.010, 0.006]",-0.50,0.620
alpha_pos_mean,ies_avoidance,-0.003,0.003,"[-0.008, 0.003]",-0.90,0.372
alpha_pos_mean,ies_hyperarousal,0.006,0.004,"[-0.002, 0.013]",1.45,0.149
alpha_neg_mean,ies_intrusion,0.002,0.002,"[-0.002, 0.007]",0.95,0.344
alpha_neg_mean,ies_avoidance,-0.003,0.002,"[-0.006, 0.001]",-1.49,0.139
alpha_neg_mean,ies_hyperarousal,0.002,0.002,"[-0.002, 0.007]",0.89,0.376
phi_mean,ies_intrusion,0.004,0.005,"[-0.005, 0.013]",0.83,0.410
phi_mean,ies_avoidance,-0.006,0.004,"[-0.013, 0.001]",-1.63,0.105
phi_mean,ies_hyperarousal,0.007,0.005,"[-0.002, 0.017]",1.52,0.132
rho_mean,ies_intrusion,-0.001,0.006,"[-0.013, 0.010]",-0.20,0.839
rho_mean,ies_avoidance,-0.002,0.004,"[-0.011, 0.007]",-0.48,0.634
rho_mean,ies_hyperarousal,-0.004,0.006,"[-0.015, 0.008]",-0.65,0.519
wm_capacity_mean,ies_intrusion,0.043,0.045,"[-0.046, 0.133]",0.96,0.340
wm_capacity_mean,ies_avoidance,-0.035,0.034,"[-0.102, 0.032]",-1.03,0.305
wm_capacity_mean,ies_hyperarousal,0.064,0.046,"[-0.027, 0.154]",1.39,0.167
kappa_mean,ies_intrusion,-0.000,0.002,"[-0.004, 0.003]",-0.18,0.858
kappa_mean,ies_avoidance,-0.001,0.001,"[-0.004, 0.002]",-0.65,0.519
kappa_mean,ies_hyperarousal,0.002,0.002,"[-0.002, 0.006]",0.96,0.337
v_scale_mean,ies_intrusion,-0.003,0.002,"[-0.006, 0.001]",-1.47,0.144
v_scale_mean,ies_avoidance,0.001,0.001,"[-0.001, 0.004]",0.87,0.383
v_scale_mean,ies_hyperarousal,-0.001,0.002,"[-0.004, 0.003]",-0.37,0.711
A_mean,ies_intrusion,0.000,0.001,"[-0.003, 0.003]",0.16,0.876
A_mean,ies_avoidance,0.001,0.001,"[-0.001, 0.003]",0.77,0.440
A_mean,ies_hyperarousal,-0.000,0.001,"[-0.003, 0.003]",-0.10,0.923
delta_mean,ies_intrusion,0.000,0.001,"[-0.002, 0.002]",0.12,0.905
delta_mean,ies_avoidance,-0.000,0.001,"[-0.001, 0.001]",-0.23,0.815
delta_mean,ies_hyperarousal,-0.001,0.001,"[-0.003, 0.000]",-1.47,0.144
t0_mean,ies_intrusion,-0.001,0.001,"[-0.002, 0.001]",-0.82,0.414
t0_mean,ies_avoidance,-0.000,0.001,"[-0.001, 0.001]",-0.05,0.961
t0_mean,ies_hyperarousal,0.001,0.001,"[-0.000, 0.003]",1.51,0.134
