group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8592541217803955,0.3535642623901367,0.9406652450561523,True
all,5,0.687382297551789,0.7509713172912598,0.3972935974597931,0.9314146637916565,True
all,6,0.7303884234577304,0.7880367040634155,0.346893310546875,0.9212887287139893,True
all,7,0.7257683215130024,0.816608190536499,0.29322806000709534,0.9395944476127625,True
all,8,0.7955752212389381,0.8417669534683228,0.47079184651374817,0.9243873953819275,True
all,9,0.7336485421591804,0.8115171194076538,0.3846301734447479,0.9093062877655029,True
all,10,0.8018731988472623,0.7826521396636963,0.4153837561607361,0.9087628126144409,True
all,11,0.7380281690140845,0.8317348957061768,0.3558478355407715,0.9289214015007019,True
all,13,0.8122710622710623,0.8186945915222168,0.5224358439445496,0.9074562788009644,True
all,14,0.7456395348837209,0.7952063083648682,0.387534499168396,0.9103320240974426,True
all,15,0.7722165474974464,0.7439100742340088,0.42029646039009094,0.9160520434379578,True
all,16,0.7607142857142857,0.8377679586410522,0.4892083406448364,0.9045459628105164,True
all,17,0.7714285714285715,0.8529711961746216,0.5887975096702576,0.9056490063667297,True
all,19,0.8895348837209303,0.8782591819763184,0.7439571022987366,0.9157224893569946,True
all,20,0.7945859872611465,0.8032182455062866,0.5016127228736877,0.8960338830947876,True
all,22,0.8534704370179949,0.831758439540863,0.7717164754867554,0.896921694278717,True
all,23,0.7195402298850575,0.8428882360458374,0.40714260935783386,0.9193381071090698,True
