group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.86054527759552,0.35344362258911133,0.9420825839042664,True
all,5,0.687382297551789,0.7509990930557251,0.39862561225891113,0.9317348599433899,True
all,6,0.7303884234577304,0.7831600308418274,0.34794291853904724,0.9184772968292236,True
all,7,0.7257683215130024,0.8160237073898315,0.2959491014480591,0.9389587640762329,True
all,8,0.7955752212389381,0.8369511365890503,0.4766334891319275,0.9257964491844177,True
all,9,0.7336485421591804,0.8122276067733765,0.3825163245201111,0.9111172556877136,True
all,10,0.8018731988472623,0.7819119095802307,0.4173698425292969,0.9094523191452026,True
all,11,0.7380281690140845,0.8266254663467407,0.3594401776790619,0.9299798011779785,True
all,13,0.8122710622710623,0.8157176971435547,0.5166100263595581,0.9069404602050781,True
all,14,0.7456395348837209,0.7934560775756836,0.38426002860069275,0.9090100526809692,True
all,15,0.7722165474974464,0.7433120012283325,0.41997939348220825,0.9134690165519714,True
all,16,0.7607142857142857,0.836869478225708,0.48866376280784607,0.9050266146659851,True
all,17,0.7714285714285715,0.8520020246505737,0.5879315137863159,0.9084733128547668,True
all,19,0.8895348837209303,0.8801207542419434,0.7423442006111145,0.9165712594985962,True
all,20,0.7945859872611465,0.8027257919311523,0.4999111592769623,0.8968645334243774,True
all,22,0.8534704370179949,0.8276731967926025,0.7727863788604736,0.893855094909668,True
all,23,0.7195402298850575,0.8438008427619934,0.41036707162857056,0.9170915484428406,True
