participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,alpha_pos_hdi_low,alpha_pos_hdi_high,alpha_pos_sd,alpha_neg_hdi_low,alpha_neg_hdi_high,alpha_neg_sd,phi_hdi_low,phi_hdi_high,phi_sd,rho_hdi_low,rho_hdi_high,rho_sd,capacity_hdi_low,capacity_hdi_high,capacity_sd,kappa_s_hdi_low,kappa_s_hdi_high,kappa_s_sd,epsilon_hdi_low,epsilon_hdi_high,epsilon_sd,max_rhat,min_ess_bulk,num_divergences,min_bfmi,per_chain_ess_bulk,n_trials,converged,at_bounds,parameterization_version,kappa_parameterization
9187,0.012568091973662376,5.3507366828853264e-05,0.1880514770746231,0.3600010275840759,2.836318254470825,0.09990165382623672,0.051653891801834106,,,,,,0.009431250393390656,0.015830976888537407,0.001676606829278171,8.959504804728624e-10,0.00017347086395602673,6.64832114125602e-05,0.05927123874425888,0.29755011200904846,0.06594064831733704,0.19906896352767944,0.5208254456520081,0.0829087346792221,2.0184521675109863,3.6185455322265625,0.43666961789131165,0.05587054044008255,0.14573737978935242,0.023132307454943657,0.004854911472648382,0.11011925339698792,0.030217833817005157,1.0,8270.0,0,0.737402081489563,804;695;1031;799,990,True,,"v4.0-K[2,6]-phiapprox",convex
10000,0.014015954919159412,5.642184623866342e-05,0.3336150348186493,0.8700659871101379,2.5988385677337646,0.12191881984472275,0.0686829462647438,,,,,,0.008877533487975597,0.019370894879102707,0.0027278943452984095,6.380893591284575e-10,0.00018490264483261853,7.886429375503212e-05,0.24590668082237244,0.4204122722148895,0.04703322798013687,0.7381210923194885,0.9989034533500671,0.07259935885667801,2.074906587600708,3.1283442974090576,0.28878316283226013,0.0707017332315445,0.17514699697494507,0.026621125638484955,0.01874849572777748,0.1194203794002533,0.02632678672671318,1.0,7841.0,0,0.737402081489563,804;695;1031;799,988,True,,"v4.0-K[2,6]-phiapprox",convex
10002,0.04076710715889931,6.138930621091276e-05,0.1428917497396469,0.9178392887115479,2.768449068069458,0.07726281881332397,0.09093330800533295,,,,,,0.023499272763729095,0.06067540496587753,0.009831370785832405,7.040787952661276e-09,0.00020322916680015624,0.00010296352411387488,0.06197621300816536,0.21444156765937805,0.03926795348525047,0.7943277359008789,0.9999557733535767,0.06448592990636826,2.0148720741271973,3.838808536529541,0.525445818901062,0.03209405019879341,0.12257808446884155,0.023320866748690605,0.058997318148612976,0.12207475304603577,0.016231922432780266,1.0,7399.0,0,0.737402081489563,804;695;1031;799,986,True,,"v4.0-K[2,6]-phiapprox",convex
10003,0.014017974957823753,5.689557656296529e-05,0.3205341100692749,0.948830783367157,2.6366517543792725,0.11164537072181702,0.024776320904493332,,,,,,0.009869873523712158,0.018635667860507965,0.002263857750222087,1.1899324858788418e-09,0.00018934704712592065,7.741404260741547e-05,0.26737430691719055,0.3714559078216553,0.026718348264694214,0.8693047761917114,0.9999462366104126,0.04063013941049576,2.11258864402771,3.185718536376953,0.27177631855010986,0.06314796209335327,0.16112178564071655,0.02518955059349537,0.00420115003362298,0.04842033609747887,0.012176254764199257,1.0,9573.0,0,0.737402081489563,804;695;1031;799,973,True,,"v4.0-K[2,6]-phiapprox",convex
10004,0.0421815887093544,6.146594387246296e-05,0.12921713292598724,0.9482583999633789,3.7070441246032715,0.04976777732372284,0.07566285133361816,,,,,,0.018945204094052315,0.06690023839473724,0.012556804344058037,1.3453365088622604e-09,0.00019787295605055988,0.00010934626334346831,0.0703713521361351,0.19781848788261414,0.0338735356926918,0.8668491840362549,0.9999553561210632,0.040543168783187866,2.6925277709960938,4.699563026428223,0.5302518010139465,0.013296420685946941,0.09066277742385864,0.020506655797362328,0.04986031726002693,0.10164549946784973,0.013310764916241169,1.0,5340.0,0,0.737402081489563,804;695;1031;799,990,True,,"v4.0-K[2,6]-phiapprox",convex
10005,0.02464696578681469,5.8680590882431716e-05,0.19379490613937378,0.953166663646698,3.2721540927886963,0.15446273982524872,0.037095747888088226,,,,,,0.013645291328430176,0.03748837485909462,0.006355123594403267,5.997392582557382e-10,0.00019324412278365344,8.58165803947486e-05,0.12921461462974548,0.25403961539268494,0.032227735966444016,0.8823493719100952,0.9999746084213257,0.036738235503435135,2.5399816036224365,4.035465240478516,0.3871734142303467,0.09069481492042542,0.22306016087532043,0.03411457687616348,0.014190705493092537,0.0613289400935173,0.012356406077742577,1.0,7840.0,0,0.737402081489563,804;695;1031;799,985,True,,"v4.0-K[2,6]-phiapprox",convex
10006,0.04043641686439514,6.0731592384399846e-05,0.16866768896579742,0.9414064288139343,3.4380671977996826,0.0869009718298912,0.03771381825208664,,,,,,0.022827908396720886,0.058998387306928635,0.009409762918949127,1.655096754094032e-10,0.00019990038708783686,9.60416000452824e-05,0.11576545238494873,0.21484267711639404,0.025808565318584442,0.8594186305999756,0.999983549118042,0.04339122027158737,2.467543125152588,4.478173732757568,0.5295155048370361,0.032559458166360855,0.13868513703346252,0.027455102652311325,0.019723281264305115,0.05591864511370659,0.009348956868052483,1.0,8911.0,0,0.737402081489563,804;695;1031;799,987,True,,"v4.0-K[2,6]-phiapprox",convex
10016,0.02257978543639183,5.882649202249013e-05,0.19107678532600403,0.878531813621521,4.453094959259033,0.08162887394428253,0.044685203582048416,,,,,,0.011874399147927761,0.035124100744724274,0.006213135551661253,4.159115718493922e-09,0.0001895491441246122,9.05607666936703e-05,0.15478336811065674,0.22474566102027893,0.018046140670776367,0.7774018049240112,0.9776394963264465,0.05241461470723152,3.5093204975128174,5.403398036956787,0.484559029340744,0.03404849395155907,0.12903675436973572,0.02458909898996353,0.018902184441685677,0.0736428052186966,0.014091789722442627,1.0,9349.0,0,0.737402081489563,804;695;1031;799,987,True,,"v4.0-K[2,6]-phiapprox",convex
10017,0.023607566952705383,6.376706005539745e-05,0.12542282044887543,0.9528902769088745,4.91765022277832,0.0617595836520195,0.08093062788248062,,,,,,0.004074661526829004,0.05327807739377022,0.014894764870405197,2.5352944743595174e-10,0.00020259495067875832,0.00023853190941736102,0.057060785591602325,0.18787166476249695,0.03382830694317818,0.8857191801071167,0.9999827742576599,0.03431588038802147,4.10553503036499,5.731629848480225,0.42326730489730835,0.022067425772547722,0.10191091895103455,0.020992670208215714,0.03497184440493584,0.12250587344169617,0.021961448714137077,1.0,4978.0,0,0.737402081489563,804;695;1031;799,986,True,,"v4.0-K[2,6]-phiapprox",convex
10018,0.019182739779353142,5.702838461729698e-05,0.2519843280315399,0.8819642066955566,2.337043046951294,0.07586736977100372,0.03298120200634003,,,,,,0.014131108298897743,0.024545609951019287,0.0027299681678414345,1.123367732169811e-09,0.0001862875942606479,7.604511483805254e-05,0.19687417149543762,0.31384775042533875,0.03016941249370575,0.74269038438797,0.9996277093887329,0.07508654147386551,2.002755641937256,2.7576680183410645,0.22837518155574799,0.033370260149240494,0.11934122443199158,0.022046156227588654,0.008630451746284962,0.06135491281747818,0.014037609100341797,1.0,9446.0,0,0.737402081489563,804;695;1031;799,986,True,,"v4.0-K[2,6]-phiapprox",convex
