group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8566920757293701,0.35005253553390503,0.9407352209091187,True
all,5,0.687382297551789,0.7557224035263062,0.40393438935279846,0.9311055541038513,True
all,6,0.7303884234577304,0.7865507006645203,0.33996984362602234,0.9131183624267578,True
all,7,0.7257683215130024,0.8173766136169434,0.3127855658531189,0.9457881450653076,True
all,8,0.7955752212389381,0.8374553322792053,0.47835302352905273,0.9235044717788696,True
all,9,0.7336485421591804,0.8087323307991028,0.38513436913490295,0.9121503829956055,True
all,10,0.8018731988472623,0.7843109369277954,0.4076632261276245,0.9106322526931763,True
all,11,0.7380281690140845,0.8290219306945801,0.35753709077835083,0.9275832772254944,True
all,13,0.8122710622710623,0.8240161538124084,0.5111773610115051,0.9131912589073181,True
all,14,0.7456395348837209,0.7934281826019287,0.3951481878757477,0.9133450984954834,True
all,15,0.7722165474974464,0.7474719285964966,0.4223383963108063,0.9148472547531128,True
all,16,0.7607142857142857,0.8428879380226135,0.49248021841049194,0.9053285121917725,True
all,17,0.7714285714285715,0.8519111275672913,0.581034779548645,0.9053148627281189,True
all,19,0.8895348837209303,0.8811666965484619,0.7291458249092102,0.9172304272651672,True
all,20,0.7945859872611465,0.8015026450157166,0.5000936985015869,0.8971816897392273,True
all,22,0.8534704370179949,0.8230929970741272,0.7646763920783997,0.8865790367126465,True
all,23,0.7195402298850575,0.8452752828598022,0.4124656319618225,0.9171096086502075,True
