group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8528280854225159,0.3534645140171051,0.9360390901565552,True
all,5,0.687382297551789,0.7480447292327881,0.39604780077934265,0.9206959009170532,True
all,6,0.7303884234577304,0.7812879085540771,0.3465404808521271,0.914157509803772,True
all,7,0.7257683215130024,0.8104821443557739,0.29380106925964355,0.9352781772613525,True
all,8,0.7955752212389381,0.837641716003418,0.46984800696372986,0.9221023321151733,True
all,9,0.7336485421591804,0.8016675114631653,0.38393285870552063,0.9025269746780396,True
all,10,0.8018731988472623,0.7735555171966553,0.41129666566848755,0.9013696312904358,True
all,11,0.7380281690140845,0.8184490203857422,0.35481661558151245,0.9248470664024353,True
all,13,0.8122710622710623,0.804903507232666,0.5213589668273926,0.9033262133598328,True
all,14,0.7456395348837209,0.785751223564148,0.3878116011619568,0.9060286283493042,True
all,15,0.7722165474974464,0.740431547164917,0.4196450114250183,0.9102293252944946,True
all,16,0.7607142857142857,0.8299561738967896,0.4873964190483093,0.8962387442588806,True
all,17,0.7714285714285715,0.8448597192764282,0.5870413780212402,0.8925130367279053,True
all,19,0.8895348837209303,0.8608114719390869,0.7395506501197815,0.9103261232376099,True
all,20,0.7945859872611465,0.7909184694290161,0.5002606511116028,0.8920567035675049,True
all,22,0.8534704370179949,0.8203712701797485,0.7487753033638,0.8865893483161926,True
all,23,0.7195402298850575,0.8299869894981384,0.4064476490020752,0.914962649345398,True
