group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.7733821272850037,0.32742583751678467,0.8534279465675354,True
all,5,0.687382297551789,0.7059389352798462,0.3737688660621643,0.8593462109565735,True
all,6,0.7303884234577304,0.7415611743927002,0.33290496468544006,0.8494155406951904,True
all,7,0.7257683215130024,0.740310788154602,0.3124352991580963,0.8636301755905151,True
all,8,0.7955752212389381,0.7430936694145203,0.43091022968292236,0.8564501404762268,True
all,9,0.7336485421591804,0.7281280755996704,0.36857280135154724,0.8479055166244507,True
all,10,0.8018731988472623,0.7270756959915161,0.40422800183296204,0.8359850645065308,True
all,11,0.7380281690140845,0.7695993185043335,0.3440955877304077,0.8452485799789429,True
all,13,0.8122710622710623,0.7503366470336914,0.4889373183250427,0.8347876071929932,True
all,14,0.7456395348837209,0.731141209602356,0.35875412821769714,0.8385233879089355,True
all,15,0.7722165474974464,0.7043298482894897,0.41223961114883423,0.8479083180427551,True
all,16,0.7607142857142857,0.784994900226593,0.46334967017173767,0.8466945886611938,True
all,17,0.7714285714285715,0.766045093536377,0.5656583309173584,0.8430560827255249,True
all,19,0.8895348837209303,0.7942489981651306,0.6180201172828674,0.8518375158309937,False
all,20,0.7945859872611465,0.7796030044555664,0.4771478772163391,0.847294270992279,True
all,22,0.8534704370179949,0.749146580696106,0.631057858467102,0.8516573905944824,False
all,23,0.7195402298850575,0.7715914249420166,0.3940209746360779,0.836345374584198,True
