source,overall_accuracy,accuracy_ss2,accuracy_ss3,accuracy_ss5,accuracy_ss6,accuracy_early,accuracy_late,learning_effect,post_reversal_accuracy
real,0.7354589955668482,0.8324618136782717,0.8102649006622517,0.7147064710760345,0.681410439927474,0.7334021182960982,0.7547583669426166,0.021356248646518305,0.4035930645498224
synthetic,0.4939880328554392,0.5128829267413137,0.5030123131046614,0.48122769762910744,0.4753913800794443,0.4971984665290475,0.4889521903148818,-0.008246276214165682,0.45194805194805193
difference,-0.24147096271140905,-0.3195788869369579,-0.3072525875575902,-0.23347877344692702,-0.20601905984802965,-0.23620365176705077,-0.26580617662773476,-0.029602524860683987,0.04835498739822952
