alpha_pos,alpha_neg,beta,set_size,accuracy_mean,accuracy_std,num_trials,num_reps
0.6156354589595345,0.8042322670898883,4.521092258532748,2,0.8444444444444444,0.036288736930121114,45,3
0.6156354589595345,0.8042322670898883,4.521092258532748,3,0.8592592592592593,0.010475656017578498,45,3
0.6156354589595345,0.8042322670898883,4.521092258532748,5,0.7851851851851852,0.07332959212304939,45,3
0.6156354589595345,0.8042322670898883,4.521092258532748,6,0.7407407407407408,0.06372092790401945,45,3
0.499996616136798,0.23975445474699555,2.4120028776816342,2,0.6814814814814815,0.020951312035156995,45,3
0.499996616136798,0.23975445474699555,2.4120028776816342,3,0.6222222222222222,0.03628873693012116,45,3
0.499996616136798,0.23975445474699555,2.4120028776816342,5,0.6666666666666666,0.11331154474650636,45,3
0.499996616136798,0.23975445474699555,2.4120028776816342,6,0.5407407407407406,0.06869347033700521,45,3
0.618607530492636,0.12150962053599126,1.2385170401301795,2,0.43703703703703706,0.037770514915502096,45,3
0.618607530492636,0.12150962053599126,1.2385170401301795,3,0.38518518518518513,0.0733295921230494,45,3
0.618607530492636,0.12150962053599126,1.2385170401301795,5,0.48148148148148145,0.04566232594791834,45,3
0.618607530492636,0.12150962053599126,1.2385170401301795,6,0.3703703703703704,0.09993138935727437,45,3
0.9025159779864478,0.3210048614300583,0.6489784970339978,2,0.4222222222222222,0.04800548665487304,45,3
0.9025159779864478,0.3210048614300583,0.6489784970339978,3,0.4148148148148148,0.05832598425193935,45,3
0.9025159779864478,0.3210048614300583,0.6489784970339978,5,0.362962962962963,0.08574694002066834,45,3
0.9025159779864478,0.3210048614300583,0.6489784970339978,6,0.35555555555555557,0.09601097330974608,45,3
0.3141104627643281,0.032187173892523235,0.8010532711194988,2,0.3925925925925926,0.055431961285539885,45,3
0.3141104627643281,0.032187173892523235,0.8010532711194988,3,0.4222222222222222,0.12701057925542406,45,3
0.3141104627643281,0.032187173892523235,0.8010532711194988,5,0.42962962962962964,0.04190262407031391,45,3
0.3141104627643281,0.032187173892523235,0.8010532711194988,6,0.42962962962962964,0.09310966733315953,45,3
0.2416794010866928,0.49324533183431485,0.19884236107727962,2,0.37777777777777777,0.01814436846506058,45,3
0.2416794010866928,0.49324533183431485,0.19884236107727962,3,0.4148148148148148,0.010475656017578472,45,3
0.2416794010866928,0.49324533183431485,0.19884236107727962,5,0.35555555555555557,0.10102356812582115,45,3
0.2416794010866928,0.49324533183431485,0.19884236107727962,6,0.34814814814814815,0.027715980642769932,45,3
0.7582342954533831,0.8783893489921974,1.397036458943724,2,0.5777777777777778,0.04800548665487306,45,3
0.7582342954533831,0.8783893489921974,1.397036458943724,3,0.6148148148148148,0.055431961285539864,45,3
0.7582342954533831,0.8783893489921974,1.397036458943724,5,0.5481481481481482,0.010475656017578498,45,3
0.7582342954533831,0.8783893489921974,1.397036458943724,6,0.5333333333333333,0.03628873693012114,45,3
0.36838946817435975,0.5684486458180996,1.3342355838343951,2,0.5555555555555555,0.03142696805273544,45,3
0.36838946817435975,0.5684486458180996,1.3342355838343951,3,0.5111111111111111,0.06542045086168775,45,3
0.36838946817435975,0.5684486458180996,1.3342355838343951,5,0.4962962962962963,0.05543196128553988,45,3
0.36838946817435975,0.5684486458180996,1.3342355838343951,6,0.48148148148148145,0.04190262407031391,45,3
