alpha_pos,alpha_neg,beta,beta_wm,capacity,phi,rho,set_size,accuracy_mean,accuracy_std,num_trials,num_reps
0.6156354589595345,0.8473196668199093,2.951088523363256,0.8256317345052627,2.0,0.5023158895724079,0.7334035115016659,3,0.5,0.09999999999999998,20,2
0.6156354589595345,0.8473196668199093,2.951088523363256,0.8256317345052627,2.0,0.5023158895724079,0.7334035115016659,5,0.5,0.15000000000000002,20,2
0.499996616136798,0.19644526837859508,4.10226245720721,1.0991971181233626,6.0,0.2711842064897434,0.3815439207710918,3,0.525,0.125,20,2
0.499996616136798,0.19644526837859508,4.10226245720721,1.0991971181233626,6.0,0.2711842064897434,0.3815439207710918,5,0.55,0.14999999999999997,20,2
0.618607530492636,0.5971642359628521,2.1784871403084987,3.1497723935742505,2.0,0.4240394284828429,0.42508205558400436,3,0.4,0.05000000000000002,20,2
0.618607530492636,0.5971642359628521,2.1784871403084987,3.1497723935742505,2.0,0.4240394284828429,0.42508205558400436,5,0.5,0.09999999999999998,20,2
0.3141104627643281,0.53789069824926,0.9648446230922172,2.128127615323064,4.0,0.55365352155699,0.1673819953951277,3,0.35,0.1,20,2
0.3141104627643281,0.53789069824926,0.9648446230922172,2.128127615323064,4.0,0.55365352155699,0.1673819953951277,5,0.4,0.05000000000000002,20,2
0.9025159779864478,0.24901316313785007,1.620841964888904,1.79516084047888,3.0,0.6225935704686789,0.3433434343465208,3,0.4,0.15000000000000002,20,2
0.9025159779864478,0.24901316313785007,1.620841964888904,1.79516084047888,3.0,0.6225935704686789,0.3433434343465208,5,0.42500000000000004,0.12500000000000003,20,2
0.2416794010866928,0.635354542418434,4.6125395350735845,3.256013564679034,5.0,0.7386812571217721,0.8364984042963646,3,0.575,0.024999999999999967,20,2
0.2416794010866928,0.635354542418434,4.6125395350735845,3.256013564679034,5.0,0.7386812571217721,0.8364984042963646,5,0.55,0.0,20,2
0.7582342954533831,0.26576237332913755,1.781588601553853,0.9146857837815253,4.0,0.7573689089713896,0.2705190044147048,3,0.525,0.125,20,2
0.7582342954533831,0.26576237332913755,1.781588601553853,0.9146857837815253,4.0,0.7573689089713896,0.2705190044147048,5,0.525,0.07499999999999998,20,2
0.36838946817435975,0.5154030943591819,1.3096847025755771,1.2784349172309803,2.0,0.7600497906386341,0.28519570744953254,3,0.3,0.04999999999999999,20,2
0.36838946817435975,0.5154030943591819,1.3096847025755771,1.2784349172309803,2.0,0.7600497906386341,0.28519570744953254,5,0.375,0.07500000000000001,20,2
0.4327478644229819,0.38153366831030366,1.3988526118012785,2.078930304781394,5.0,0.7951191001651224,0.32691803198692737,3,0.45,0.04999999999999999,20,2
0.4327478644229819,0.38153366831030366,1.3988526118012785,2.078930304781394,5.0,0.7951191001651224,0.32691803198692737,5,0.4,0.1,20,2
0.720395657759638,0.4381079245774021,2.171513364048012,2.026914590597363,2.0,0.7399114632255592,0.5301175550644466,3,0.675,0.07500000000000001,20,2
0.720395657759638,0.4381079245774021,2.171513364048012,2.026914590597363,2.0,0.7399114632255592,0.5301175550644466,5,0.6000000000000001,0.04999999999999999,20,2
