source,overall_accuracy,accuracy_ss2,accuracy_ss3,accuracy_ss5,accuracy_ss6,accuracy_early,accuracy_late,learning_effect,post_reversal_accuracy
real,0.7354589955668482,0.8324618136782717,0.8102649006622517,0.7147064710760345,0.681410439927474,0.7334021182960982,0.7547583669426166,0.021356248646518305,0.4035930645498224
synthetic,0.4927305770104498,0.5099747474747475,0.5013537012172306,0.48151625652335306,0.4749893662271374,0.49659082084336414,0.4879843588835691,-0.008606461959795031,0.4505875077303649
difference,-0.24272841855639843,-0.3224870662035242,-0.3089111994450211,-0.2331902145526814,-0.20642107370033658,-0.2368112974527341,-0.26677400805904744,-0.029962710606313336,0.04699444318054247
