Parameter,Predictor,β,SE,95% CI,t,p
alpha_mean,ies_intrusion,0.003,0.002,"[-0.002, 0.008]",1.32,0.188
alpha_mean,ies_avoidance,-0.000,0.002,"[-0.004, 0.003]",-0.09,0.930
alpha_mean,ies_hyperarousal,-0.003,0.002,"[-0.008, 0.001]",-1.44,0.151
phi_mean,ies_intrusion,0.002,0.003,"[-0.004, 0.008]",0.60,0.549
phi_mean,ies_avoidance,0.001,0.002,"[-0.003, 0.006]",0.53,0.596
phi_mean,ies_hyperarousal,-0.003,0.003,"[-0.009, 0.003]",-0.85,0.398
rho_mean,ies_intrusion,0.000,0.005,"[-0.009, 0.010]",0.05,0.957
rho_mean,ies_avoidance,0.003,0.004,"[-0.005, 0.010]",0.70,0.486
rho_mean,ies_hyperarousal,-0.004,0.005,"[-0.013, 0.006]",-0.72,0.470
wm_capacity_mean,ies_intrusion,0.030,0.031,"[-0.032, 0.092]",0.95,0.341
wm_capacity_mean,ies_avoidance,-0.022,0.023,"[-0.068, 0.024]",-0.95,0.343
wm_capacity_mean,ies_hyperarousal,-0.005,0.031,"[-0.067, 0.057]",-0.17,0.868
kappa_mean,ies_intrusion,-0.018,0.011,"[-0.041, 0.004]",-1.62,0.108
kappa_mean,ies_avoidance,0.001,0.008,"[-0.016, 0.018]",0.10,0.921
kappa_mean,ies_hyperarousal,0.012,0.011,"[-0.011, 0.034]",1.05,0.297
epsilon_mean,ies_intrusion,-0.001,0.001,"[-0.004, 0.002]",-0.61,0.541
epsilon_mean,ies_avoidance,0.001,0.001,"[-0.001, 0.004]",1.45,0.150
epsilon_mean,ies_hyperarousal,-0.001,0.001,"[-0.004, 0.002]",-0.75,0.454
