parameter,scale,n,beta,se,t_stat,p_uncorrected,p_fdr_bh,p_bonferroni,sig_uncorrected,sig_fdr,sig_bonferroni,r_squared
epsilon_mean,lec_total_events,162,-0.00426639742267226,0.0014481557796151188,-2.946090111801477,0.0036990168427983743,0.13316460634074148,0.13316460634074148,True,False,False,0.05145527273153239
rho_mean,lec_total_events,162,0.008335022408850217,0.00514175593960449,1.6210459046975607,0.10697686351877726,0.9967218516829064,1.0,False,False,False,0.016158307432955987
epsilon_mean,lec_personal_events,162,-0.0033236367061631215,0.0020725309950987165,-1.6036607963997247,0.11076103404874492,0.9967218516829064,1.0,False,False,False,0.01581903558718256
kappa_mean,lec_total_events,162,0.01758104880520777,0.012154026587350647,1.4465205155553402,0.14998744369850575,0.9967218516829064,1.0,False,False,False,0.012908818199170224
kappa_mean,ies_intrusion,162,-0.008148127223225124,0.006021125247346538,-1.3532565572881812,0.17788254738831474,0.9967218516829064,1.0,False,False,False,0.011316125325501636
rho_mean,lec_personal_events,162,0.009184863584829651,0.007246976426730398,1.2674063007782634,0.2068515478686024,0.9967218516829064,1.0,False,False,False,0.009939702505838754
phi_mean,lec_personal_events,162,0.005628050991991625,0.00464703480911855,1.2111058391359788,0.22764064942726114,0.9967218516829064,1.0,False,False,False,0.009084081429192259
phi_mean,lec_total_events,162,0.0037400124584608973,0.003309435564786415,1.1301058398767376,0.260122917569252,0.9967218516829064,1.0,False,False,False,0.007918910365007581
kappa_mean,ies_total,162,-0.0018912553948331643,0.0020891520936122464,-0.9052741543403339,0.3666813226210369,0.9967218516829064,1.0,False,False,False,0.005095906814793882
alpha_mean,ies_hyperarousal,162,-0.000923882069866504,0.0012672641565360553,-0.7290366930221137,0.4670450278955348,0.9967218516829064,1.0,False,False,False,0.003310842532356806
kappa_mean,ies_avoidance,162,-0.0037269404447668316,0.005223809361911252,-0.7134526140906574,0.47660508010091185,0.9967218516829064,1.0,False,False,False,0.0031712526160481147
wm_capacity_mean,lec_total_events,162,-0.020150456304060912,0.033483072537184924,-0.6018102514840191,0.5481522576867252,0.9967218516829064,1.0,False,False,False,0.002258485066594096
epsilon_mean,ies_hyperarousal,162,-0.0004409049370941564,0.0007483197500679831,-0.589193238657808,0.5565626329901612,0.9967218516829064,1.0,False,False,False,0.0021649818868259008
alpha_mean,lec_personal_events,162,0.0020288254278494357,0.003536280820008241,0.5737172840941709,0.5669647038201054,0.9967218516829064,1.0,False,False,False,0.0020529736416841082
phi_mean,ies_avoidance,162,0.0007926308413951453,0.0014196889554161224,0.5583130293232568,0.577411095588169,0.9967218516829064,1.0,False,False,False,0.0019444208537590102
epsilon_mean,ies_intrusion,162,-0.0003798862617443587,0.0007354140541319614,-0.5165610578285095,0.6061758377532938,0.9967218516829064,1.0,False,False,False,0.001664944128467849
phi_mean,ies_intrusion,162,0.0008318199555176004,0.0016433887349811811,0.5061614077129023,0.6134400515626601,0.9967218516829064,1.0,False,False,False,0.0015986861766595917
kappa_mean,ies_hyperarousal,162,-0.002763918038171851,0.0061594211776339405,-0.44873015799084764,0.654233467491014,0.9967218516829064,1.0,False,False,False,0.0012569104048537616
epsilon_mean,ies_avoidance,162,0.0002781863677623237,0.0006355679979174213,0.43769725454060415,0.6621960363291501,0.9967218516829064,1.0,False,False,False,0.0011959360658276852
rho_mean,ies_hyperarousal,162,-0.0010785360578673261,0.002610289838119307,-0.41318632211524936,0.6800233250296033,0.9967218516829064,1.0,False,False,False,0.0010658810402603969
wm_capacity_mean,ies_avoidance,162,-0.005844939474961295,0.014329336661858037,-0.4079002128911808,0.6838922346174097,0.9967218516829064,1.0,False,False,False,0.0010388108977220645
phi_mean,ies_total,162,0.0002273320137602634,0.0005685928699690123,0.3998150975277842,0.6898259481151726,0.9967218516829064,1.0,False,False,False,0.0009980785452969876
wm_capacity_mean,ies_intrusion,162,0.006366600050224482,0.016585317005643578,0.38386966303134773,0.7015846872951768,0.9967218516829064,1.0,False,False,False,0.0009201270751609814
