group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8337056636810303,0.3527502715587616,0.9301755428314209,True
all,5,0.687382297551789,0.7243804931640625,0.39834341406822205,0.9239597916603088,True
all,6,0.7303884234577304,0.7652583718299866,0.34239497780799866,0.8910315632820129,True
all,7,0.7257683215130024,0.7929388284683228,0.3224404454231262,0.9340821504592896,True
all,8,0.7955752212389381,0.7965048551559448,0.47634458541870117,0.9162368178367615,True
all,9,0.7336485421591804,0.7745294570922852,0.37727293372154236,0.8977074027061462,True
all,10,0.8018731988472623,0.7732463479042053,0.41121914982795715,0.8851788640022278,True
all,11,0.7380281690140845,0.7938711643218994,0.36056777834892273,0.9113430976867676,True
all,13,0.8122710622710623,0.7784956693649292,0.5052827596664429,0.8750978112220764,True
all,14,0.7456395348837209,0.7663441300392151,0.39048269391059875,0.8889860510826111,True
all,15,0.7722165474974464,0.719598650932312,0.4047352373600006,0.9000996947288513,True
all,16,0.7607142857142857,0.8126299381256104,0.48729634284973145,0.8966313004493713,True
all,17,0.7714285714285715,0.8409568071365356,0.556931734085083,0.8812949061393738,True
all,19,0.8895348837209303,0.8403030037879944,0.694337785243988,0.9038623571395874,True
all,20,0.7945859872611465,0.7935863733291626,0.48297110199928284,0.8881324529647827,True
all,22,0.8534704370179949,0.7873054146766663,0.729382336139679,0.8648408651351929,True
all,23,0.7195402298850575,0.8152154684066772,0.4124896228313446,0.8853287696838379,True
