participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,alpha_pos_hdi_low,alpha_pos_hdi_high,alpha_pos_sd,alpha_neg_hdi_low,alpha_neg_hdi_high,alpha_neg_sd,phi_hdi_low,phi_hdi_high,phi_sd,rho_hdi_low,rho_hdi_high,rho_sd,capacity_hdi_low,capacity_hdi_high,capacity_sd,kappa_total_hdi_low,kappa_total_hdi_high,kappa_total_sd,kappa_share_hdi_low,kappa_share_hdi_high,kappa_share_sd,epsilon_hdi_low,epsilon_hdi_high,epsilon_sd,max_rhat,min_ess_bulk,num_divergences,min_bfmi,per_chain_ess_bulk,n_trials,converged,at_bounds,parameterization_version,kappa_parameterization
9187,0.016066543757915497,4.9372250941814855e-05,0.5479813814163208,0.2706773579120636,2.2587156295776367,0.5468834042549133,0.07922691106796265,0.14082099497318268,,,,,,0.011872953735291958,0.020728064700961113,0.0022791847586631775,1.214127132165288e-09,0.00015816299128346145,6.557571032317355e-05,0.3728134334087372,0.6986063718795776,0.08134324848651886,0.11225730180740356,0.3880728483200073,0.06933289021253586,2.0000054836273193,2.6398730278015137,0.20603281259536743,0.29509276151657104,0.8107194304466248,0.13299477100372314,1.2901290574518498e-05,0.1995995044708252,0.06321422010660172,0.05824089050292969,0.21855127811431885,0.04113852232694626,1.0,4489.0,0,0.7733902931213379,759;607;667;883,990,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10000,0.010363931767642498,5.075032095192e-05,0.3297666609287262,0.33095282316207886,2.25502872467041,0.7009679675102234,0.04276555776596069,0.09202403575181961,,,,,,0.007079802453517914,0.013655632734298706,0.0016788464272394776,1.430922713652194e-09,0.0001625166041776538,6.871117511764169e-05,0.2456831932067871,0.41450390219688416,0.0434587188065052,0.22162440419197083,0.4656185209751129,0.06165425479412079,2.000073194503784,2.628241777420044,0.19501996040344238,0.4744136929512024,1.0,0.14965546131134033,6.549594218085986e-07,0.12213093042373657,0.038826316595077515,0.05038582906126976,0.13562873005867004,0.022052105516195297,1.0,2859.0,0,0.7733902931213379,759;607;667;883,988,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10002,0.028195155784487724,5.477085869642906e-05,0.1671660989522934,0.3085918724536896,2.2534005641937256,0.9517372846603394,0.6981949210166931,0.09137378633022308,,,,,,0.014271826483309269,0.04379497841000557,0.007814601063728333,1.9577960086447632e-10,0.0001752652897266671,0.00010432110138935968,0.07319806516170502,0.27628910541534424,0.052945949137210846,0.20335912704467773,0.42106112837791443,0.05486059933900833,2.0000991821289062,2.624828815460205,0.1964074820280075,0.7611811757087708,1.0,0.08596339821815491,0.4503161609172821,0.9545764327049255,0.13116219639778137,0.06302384287118912,0.12072005867958069,0.015074627473950386,1.0,5265.0,0,0.7733902931213379,759;607;667;883,986,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10003,0.009034769609570503,4.9312067858409137e-05,0.2515932619571686,0.2571580111980438,2.2341580390930176,0.6383575201034546,0.3248855173587799,0.03078295849263668,,,,,,0.005979450419545174,0.011935703456401825,0.0015099076554179192,9.482266083438162e-10,0.00015932449605315924,6.33546442259103e-05,0.1731416881084442,0.3309231996536255,0.04089754819869995,0.16463413834571838,0.347167044878006,0.04835204407572746,2.0000314712524414,2.5632357597351074,0.17493440210819244,0.3496083617210388,0.9264090061187744,0.14295126497745514,0.06424780189990997,0.5574544072151184,0.1253974437713623,0.007156406529247761,0.05597222223877907,0.012912452220916748,1.0,4415.0,0,0.7733902931213379,759;607;667;883,973,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10004,0.014323431067168713,5.511516428668983e-05,0.05530848726630211,0.3616662621498108,2.279268980026245,0.9910814166069031,0.9014432430267334,0.08342865109443665,,,,,,0.006571784615516663,0.023578789085149765,0.004556034691631794,5.244732981246614e-10,0.00017487429431639612,0.0001029172635753639,0.01659506931900978,0.09603226184844971,0.02058478072285652,0.2469080090522766,0.4931006133556366,0.0653161108493805,2.0000288486480713,2.7040014266967773,0.22815150022506714,0.9336336851119995,1.0,0.0291911493986845,0.767297625541687,0.9998295307159424,0.07023180276155472,0.06026637926697731,0.10941660404205322,0.01262671034783125,1.0,5172.0,0,0.7733902931213379,759;607;667;883,990,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10005,0.009167331270873547,5.1246312068542466e-05,0.14867141842842102,0.3039107024669647,2.2511487007141113,0.9789013266563416,0.14909037947654724,0.03431440889835358,,,,,,0.005463435780256987,0.013164523057639599,0.0019763531163334846,3.406736004407662e-10,0.00016773822426330298,7.530304719693959e-05,0.094647616147995,0.20662114024162292,0.028671175241470337,0.2077125608921051,0.4101858139038086,0.05194976180791855,2.0000200271606445,2.621363878250122,0.1924988478422165,0.8572720289230347,1.0,0.05171359330415726,1.8605920786285424e-06,0.31022724509239197,0.09057439118623734,0.014236238785088062,0.054416608065366745,0.01040209922939539,1.0,6517.0,0,0.7733902931213379,759;607;667;883,985,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10006,0.009451378136873245,5.3569609008263797e-05,0.09821159392595291,0.3508646786212921,2.269517660140991,0.9398547410964966,0.32334503531455994,0.03704031556844711,,,,,,0.0050510503351688385,0.01395468506962061,0.0022949681151658297,1.9582302446252697e-09,0.0001721737498883158,9.326082363259047e-05,0.05541074275970459,0.14206144213676453,0.022162068635225296,0.2448045313358307,0.46520280838012695,0.05911443755030632,2.0000646114349365,2.671330451965332,0.2112698256969452,0.716280996799469,1.0,0.1020246222615242,0.052490584552288055,0.5777732729911804,0.13677677512168884,0.019803468137979507,0.054785244166851044,0.009102494455873966,1.0,5362.0,0,0.7733902931213379,759;607;667;883,987,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10016,0.010753893293440342,5.190764204598963e-05,0.10002895444631577,0.3126300871372223,2.2723288536071777,0.9619812965393066,0.6566616296768188,0.04931449145078659,,,,,,0.006570709869265556,0.014898386783897877,0.0021459010895341635,2.8689797204606293e-09,0.00016864552162587643,7.651100168004632e-05,0.06509152054786682,0.138076514005661,0.01870024763047695,0.2177419364452362,0.41446372866630554,0.049658484756946564,2.0001049041748047,2.68658185005188,0.22678261995315552,0.7926815748214722,1.0,0.07384923845529556,0.4168824553489685,0.9174375534057617,0.1287114918231964,0.028194192796945572,0.07280956953763962,0.011621307581663132,1.0,6273.0,0,0.7733902931213379,759;607;667;883,987,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10017,0.0069388472475111485,5.569348286371678e-05,0.0312725193798542,0.39217230677604675,2.306441307067871,0.9819678664207458,0.9010307788848877,0.0972575843334198,,,,,,0.0026126448065042496,0.011584392748773098,0.002359258709475398,2.806291310442077e-10,0.00018058931163977832,0.00015901020378805697,0.004438628442585468,0.06062086299061775,0.015336859971284866,0.2638726830482483,0.5433070063591003,0.07482445985078812,2.0000710487365723,2.812197208404541,0.26397478580474854,0.8827887773513794,1.0,0.04427479952573776,0.7540547847747803,0.9996275901794434,0.07335440069437027,0.06938531994819641,0.12377151846885681,0.0139392651617527,1.0,3590.0,0,0.7733902931213379,759;607;667;883,986,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
10018,0.016841258853673935,5.146513649378903e-05,0.27057600021362305,0.2648836076259613,2.2333545684814453,0.5636738538742065,0.5490405559539795,0.04950373247265816,,,,,,0.01210865844041109,0.02254612185060978,0.002689716638997197,1.2273765337411646e-10,0.00016834901180118322,7.303785241674632e-05,0.1671496331691742,0.37660086154937744,0.053743310272693634,0.14548969268798828,0.3642253875732422,0.05696111172437668,2.0000884532928467,2.5763800144195557,0.17664648592472076,0.24737223982810974,0.8876734375953674,0.16180124878883362,0.24719470739364624,0.8780273199081421,0.15899644792079926,0.02013457380235195,0.08184477686882019,0.016042202711105347,1.0,4763.0,0,0.7733902931213379,759;607;667;883,986,True,,"v4.0-K[2,6]-phiapprox-stickbreaking",softmax
