group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8382686376571655,0.35275235772132874,0.9314863681793213,True
all,5,0.687382297551789,0.731631875038147,0.38531866669654846,0.9251309633255005,True
all,6,0.7303884234577304,0.7665792107582092,0.34484991431236267,0.895834743976593,True
all,7,0.7257683215130024,0.7902467250823975,0.322666198015213,0.9372407793998718,True
all,8,0.7955752212389381,0.7995861768722534,0.47914785146713257,0.9139466881752014,True
all,9,0.7336485421591804,0.7735233902931213,0.37372761964797974,0.9010273814201355,True
all,10,0.8018731988472623,0.7705007195472717,0.4161103665828705,0.8874163627624512,True
all,11,0.7380281690140845,0.7917699813842773,0.36036816239356995,0.9142523407936096,True
all,13,0.8122710622710623,0.7819709777832031,0.5267249345779419,0.8806985020637512,True
all,14,0.7456395348837209,0.7603501081466675,0.38230186700820923,0.8946248888969421,True
all,15,0.7722165474974464,0.7167489528656006,0.404930055141449,0.9003494381904602,True
all,16,0.7607142857142857,0.8119412660598755,0.4775920808315277,0.896449625492096,True
all,17,0.7714285714285715,0.8401629328727722,0.5554743409156799,0.8813418745994568,True
all,19,0.8895348837209303,0.8401907086372375,0.7072609066963196,0.9040158987045288,True
all,20,0.7945859872611465,0.7925373315811157,0.47955742478370667,0.8873109221458435,True
all,22,0.8534704370179949,0.7880895733833313,0.7245697975158691,0.8673114776611328,True
all,23,0.7195402298850575,0.8138388395309448,0.40073445439338684,0.8884869813919067,True
