group,block,observed_accuracy,ppc_median,ppc_2.5,ppc_97.5,covered
all,3,0.8463444857496902,0.8389701843261719,0.36133894324302673,0.9301953315734863,True
all,5,0.687382297551789,0.7280745506286621,0.3938235938549042,0.9257299900054932,True
all,6,0.7303884234577304,0.7630016803741455,0.3473394215106964,0.8952639102935791,True
all,7,0.7257683215130024,0.7874598503112793,0.3173133432865143,0.9362450838088989,True
all,8,0.7955752212389381,0.7926165461540222,0.46866869926452637,0.9164660573005676,True
all,9,0.7336485421591804,0.7720852494239807,0.3732474744319916,0.9005081653594971,True
all,10,0.8018731988472623,0.771986722946167,0.41387292742729187,0.889206051826477,True
all,11,0.7380281690140845,0.7925261855125427,0.35457077622413635,0.9139837026596069,True
all,13,0.8122710622710623,0.7754316329956055,0.505020022392273,0.8804530501365662,True
all,14,0.7456395348837209,0.7618275880813599,0.37412500381469727,0.8927988409996033,True
all,15,0.7722165474974464,0.7178476452827454,0.40836840867996216,0.9024406671524048,True
all,16,0.7607142857142857,0.8059788942337036,0.47080135345458984,0.8982154726982117,True
all,17,0.7714285714285715,0.8425300121307373,0.5544676184654236,0.8822838664054871,True
all,19,0.8895348837209303,0.8355007171630859,0.6889276504516602,0.9060364961624146,True
all,20,0.7945859872611465,0.7932949066162109,0.4800121486186981,0.8906736969947815,True
all,22,0.8534704370179949,0.7881708145141602,0.7173885107040405,0.8677524328231812,True
all,23,0.7195402298850575,0.8137286901473999,0.40188297629356384,0.8892795443534851,True
