participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10000,0.02596217393875122,0.0010000000474974513,0.22662320733070374,800.2333374023438,1606.4666748046875,1621.1537228979312,1606.49106504859,0.2627492164391475,4.3286654545227066e-05,1761355520.0,True,0.003682773047289662,1.868185153400185e-07,0.03684653059705827,0.018744071402828657,0.0009996338899357397,0.15440533440521637,0.03318027647467378,0.001000366205059163,0.2988410802561911,988,True,50,16,['alpha_neg'],[]
9187,0.01793547160923481,0.0010000000474974513,0.17202156782150269,868.35302734375,1742.7060546875,1757.3991695168859,1742.730395458291,0.20160708277934547,9.55776522459928e-06,1075937536.0,True,0.003311124565553412,1.3389947814945964e-07,0.0705899543283218,0.01144578671242429,0.0009997376093427296,0.03366779966766467,0.02442515650604533,0.001000262485652173,0.3103753359753407,990,True,50,20,['alpha_neg'],[]
10002,0.7565478086471558,0.02998715080320835,0.21094249188899994,588.0910034179688,1182.1820068359375,1196.8629758997454,1182.206446754471,0.45709584164566675,3.263055987190455e-06,463376864.0,True,431.9529990291891,0.010434117113089357,0.018255020994021102,-845.8557733026283,0.009536657051080168,0.175163308203696,847.3688689199226,0.05043764455533653,0.24672167557430388,986,True,50,39,[],[]
10003,0.018983904272317886,0.0010000000474974513,0.044117048382759094,691.4432373046875,1388.886474609375,1403.527626855933,1388.9112424112325,0.3531564670292132,0.00016593749751336873,2190467328.0,True,0.0022644326245202383,1.5494440905715862e-07,0.037082970615844715,0.014545697882840708,0.0009996963620360934,-0.028564238464053662,0.023422110661795066,0.0010003037329588092,0.11679833522957185,973,False,50,23,['alpha_neg'],[]
10004,0.21194171905517578,0.07360294461250305,0.11783860623836517,426.96832275390625,859.9366455078125,874.6297603371984,859.9609862786036,0.607430994042754,8.816296940494794e-06,157.50157165527344,True,0.27981404705815466,0.017251103596244037,0.014522995658307692,-0.33648373554720323,0.03979140287029533,0.08937405780045052,0.7603671736575548,0.10741448635471076,0.14630315467627983,990,True,50,19,[],[]
10005,0.07976554334163666,0.020129302516579628,0.16635799407958984,543.6268310546875,1093.253662109375,1107.9315870328912,1093.2781269411794,0.497634044393079,8.752809662837535e-06,49.62975311279297,True,0.020761166536820162,0.015545805416686426,0.02132171992780852,0.03907440465243098,-0.010339916210793453,0.12456819093263519,0.12045668203084234,0.05059852124395271,0.2081477972265445,985,True,50,17,[],[]
10006,0.08216948062181473,0.0010000000474974513,0.11464932560920715,492.57830810546875,991.1566162109375,1005.8406263292379,991.1810312668887,0.5457303969371046,2.263217538711615e-05,2416460032.0,True,0.013332972576808178,3.1370459358405727e-07,0.015900706431983918,0.0560373345644105,0.0009993851977922418,0.08348451367377428,0.10830162667921896,0.0010006148972026608,0.14581413754464,987,True,50,21,['alpha_neg'],[]
10007,0.011540615931153297,0.0010000000474974513,0.037809036672115326,926.5408935546875,1859.081787109375,1873.7657972276754,1859.106202165326,0.14551786586893867,4.517321940511465e-06,390237856.0,True,0.002006596009496754,7.281545398300398e-08,0.11240688154122491,0.007607760021017868,0.0009998573318301268,-0.1825044027631457,0.015473471841288727,0.0010001427631647758,0.2581224761073764,987,True,50,20,['alpha_neg'],"[('alpha_pos', 'epsilon', 0.9147710800170898)]"
10016,0.27372846007347107,0.4654260277748108,0.2008287012577057,540.2252807617188,1086.4505615234375,1101.134571641738,1086.4749765793886,0.5017890154358532,1.9702338249771856e-05,359.0555114746094,True,0.36498492832955143,0.039990650718553,0.01709877130456852,-0.44162885435238264,0.3870457926481261,0.16731572532086444,0.9890857744993248,0.5438062629014955,0.23434167719454693,987,True,50,32,[],[]
10017,0.9860308766365051,0.9990000128746033,0.16879135370254517,488.3165588378906,982.6331176757812,997.3140867395891,982.6575575943149,0.5492039686960648,,,False,,,,,,,,,,986,True,50,37,['alpha_neg'],
10018,0.0395241416990757,0.0010000000474974513,0.18092282116413116,674.19921875,1354.3984375,1369.0794065638079,1354.4228774185335,0.3776038788362901,2.122758814948611e-05,7124722688.0,True,0.006349232750543956,4.2827802442044127e-07,0.02663873323109488,0.02707987417854736,0.0009991606379942174,0.1287118634374149,0.051968409219604036,0.0010008394570006852,0.23313377889084744,986,True,50,25,['alpha_neg'],[]
10024,0.03832952678203583,0.0010000000474974513,0.09839886426925659,411.1085510253906,828.2171020507812,841.9465107579259,828.2507154961594,0.4788201538370038,7.069613729981938e-06,2808236800.0,True,0.00523664820784965,2.912656890152015e-07,0.0226702527888417,0.028065884894944295,0.0009994291772370493,0.05396598528270814,0.04859316866912736,0.0010005709177578533,0.14283174325580505,718,True,50,6,['alpha_neg'],[]
