participant_id,n_trials,n_blocks,fit_time_s,is_first_fit,memory_before_mb,memory_after_mb,nll,converged
10000,988,17,48.30829858779907,True,1985.2578125,2099.23046875,763.231201171875,True
9187,990,17,45.36823058128357,False,2099.23046875,2112.8515625,824.56298828125,True
10002,986,17,63.77452373504639,False,2112.8515625,2128.6171875,478.10931396484375,True
10003,973,17,39.037391662597656,False,2128.6171875,2141.0546875,679.1678466796875,True
10004,990,17,50.41592788696289,False,2141.0546875,2153.3828125,407.0059509277344,True
10005,985,17,49.939069747924805,False,2153.3828125,2153.3828125,447.5691833496094,True
10006,987,17,62.143975496292114,False,2153.3828125,2153.3828125,389.7320861816406,True
10007,987,17,43.836801290512085,False,2153.3828125,2153.3828125,907.6752319335938,True
10016,987,17,52.8036949634552,False,2153.3828125,2153.3828125,444.24969482421875,True
10017,986,17,54.83468270301819,False,2153.3828125,2156.48828125,411.64361572265625,True
10018,986,17,50.96224522590637,False,2156.48828125,2166.23828125,589.9992065429688,True
10024,718,17,56.79081869125366,False,2166.23828125,2166.23828125,312.2280578613281,True
10025,414,17,40.2865788936615,False,2166.23828125,2166.23828125,259.90704345703125,True
10027,718,17,54.71327829360962,False,2166.23828125,2166.23828125,299.3337707519531,True
10028,699,17,39.14290428161621,False,2166.23828125,2166.98828125,709.6063232421875,True
10029,720,17,53.645447731018066,False,2166.98828125,2166.98828125,293.2910461425781,True
10030,716,17,52.097193479537964,False,2166.98828125,2166.98828125,267.7926330566406,True
10031,719,17,50.59765934944153,False,2166.98828125,2166.98828125,380.5106201171875,True
10035,717,17,52.91703653335571,False,2166.98828125,2166.98828125,355.9956970214844,True
10036,713,17,46.85570979118347,False,2166.98828125,2166.98828125,571.8226318359375,True
10039,711,17,47.078543186187744,False,2166.98828125,2166.98828125,393.60980224609375,True
10041,696,17,36.96564269065857,False,2166.98828125,2166.98828125,657.160888671875,True
10043,716,17,45.004791021347046,False,2166.98828125,2166.98828125,541.3475952148438,True
10047,717,17,49.68107509613037,False,2166.98828125,2178.71875,473.5289306640625,True
10048,702,17,33.52535843849182,False,2178.71875,2178.71875,539.8719482421875,True
10050,717,17,42.05948781967163,False,2178.71875,2178.71875,445.6636047363281,True
10051,709,17,59.623985052108765,False,2178.71875,2178.71875,371.4988098144531,True
10052,709,17,46.80924201011658,False,2178.71875,2178.71875,495.3449401855469,True
10055,719,17,54.66331338882446,False,2178.71875,2178.71875,361.3426208496094,True
10057,712,17,34.664825201034546,False,2178.71875,2178.71875,510.5860900878906,True
10058,697,17,49.65930199623108,False,2178.71875,2179.46875,501.30450439453125,True
10059,718,17,47.917237758636475,False,2179.46875,2179.46875,331.3542175292969,True
10062,718,17,71.25399208068848,False,2179.46875,2179.46875,187.36773681640625,True
10063,713,17,46.65023851394653,False,2179.46875,2179.46875,605.1643676757812,True
10064,712,17,45.04934096336365,False,2179.46875,2179.46875,458.13604736328125,True
10065,719,17,47.10754895210266,False,2179.46875,2179.46875,271.32513427734375,True
10066,706,17,48.609121322631836,False,2179.46875,2179.46875,298.8196716308594,True
10067,716,17,49.7110550403595,False,2179.46875,2180.21875,626.9317016601562,True
10071,720,17,51.69101095199585,False,2180.21875,2180.21875,336.03717041015625,True
10072,718,17,54.38550686836243,False,2180.21875,2180.21875,331.9555969238281,True
10074,717,17,56.904276847839355,False,2180.21875,2180.21875,407.0128479003906,True
10075,717,17,51.30208992958069,False,2180.21875,2180.21875,398.9273986816406,True
10076,710,17,34.626216650009155,False,2180.21875,2180.21875,528.2589721679688,True
10077,719,17,49.54889106750488,False,2180.21875,2180.21875,343.80035400390625,True
10078,719,17,53.49016714096069,False,2180.21875,2180.21875,387.4603271484375,True
