participant_id,alpha_pos,alpha_neg,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10000,0.009505324065685272,0.0010000000474974513,0.3361439108848572,0.8600148558616638,2.7305099964141846,0.0700942873954773,757.8213500976562,1527.6427001953125,1557.0167963817996,1527.7283271066274,0.3018231582649835,4.1267001506639645e-05,4578467.5,True,0.002875910760721761,2.3556285515779893e-06,0.055991309448983374,0.0862898239298053,0.3679054420208205,0.050679513793614246,0.0038686425519194314,0.0009953831003754042,0.22640296091761253,0.6908899087269429,2.0094285803370875,-0.029235734394007507,0.015142005579451112,0.0010046169946194984,0.4458848608521018,1.0291398029963847,3.4515914124912817,0.1694243091849621,988,True,50,5,"['alpha_pos', 'alpha_neg']",[]
9187,0.012373344041407108,0.0010000000474974513,0.19028732180595398,0.21944859623908997,2.999999761581421,0.0805659368634224,865.8909912109375,1743.781982421875,1773.1682120806468,1743.8674351177042,0.20387076143132388,0.5313203930854797,3416327.25,True,0.003847605167150251,1.6117144006919362e-06,0.07662342210955313,0.09736430282013975,2.005231101995818,0.11741427085569141,0.004832176487062401,0.0009968411453187306,0.04010817409901976,0.028618069331764445,-0.9301809790099465,-0.14956180528476368,0.019914511595751815,0.001003158949676172,0.34046646951288817,0.41027912314641546,6.930180502172789,0.3106936790116085,990,False,50,10,['alpha_neg'],"[('alpha_pos', 'epsilon', 0.9230627417564392)]"
10002,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,986,False,47,0,[],
10003,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,973,False,49,0,[],
10004,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,990,False,49,0,[],
10005,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,985,False,49,0,[],
10006,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,987,False,49,0,[],
10007,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,987,False,48,0,[],
10016,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,987,False,46,0,[],
10017,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,986,False,48,0,[],
10018,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,986,False,49,0,[],
10024,0.011387865990400314,0.0010000000474974513,0.20820975303649902,0.9782014489173889,2.8284857273101807,0.01244110707193613,374.0868835449219,760.1737670898438,787.6325845041331,760.2919105497593,0.5257541008785884,4.10232569265645e-05,6582447.0,True,0.002044381492015289,2.6175561890343962e-06,0.02646804937937806,0.054343381917293314,0.19591753942613369,0.0210996244773763,0.007380951895390088,0.000994869731639434,0.1563333295118903,0.8716903775613888,2.4444944060952527,-0.028913396991041174,0.01539478008541054,0.0010051303633554687,0.2600861765611078,1.084712520273389,3.2124770485251086,0.053795611134913435,718,True,50,16,['alpha_neg'],[]
10025,0.10388027131557465,0.0010000000474974513,0.6378759145736694,0.25809234380722046,5.0,0.06353524327278137,253.1351318359375,518.270263671875,542.4254595148269,518.4766518782632,0.4434455878395501,0.32050901651382446,inf,True,0.04189986247467835,2.300901190064716e-06,0.04176523758233808,,,0.029724986158391038,0.021758049908023783,0.0009954903640329391,0.5560175531065281,,,0.005275340961383317,0.18600249272312552,0.0010045097309619635,0.7197342760408107,,,0.12179514558417942,414,False,50,22,['alpha_neg'],"[('alpha_pos', 'rho', 4422.802734375), ('alpha_pos', 'capacity', 13245.748046875), ('alpha_neg', 'rho', 21.10166358947754), ('alpha_neg', 'capacity', -64.99158477783203), ('phi', 'rho', 38025.32421875), ('phi', 'capacity', -233690.796875), ('rho', 'capacity', 13883753472.0), ('rho', 'epsilon', -17031.4765625), ('capacity', 'epsilon', 23683.17578125)]"
10027,0.0435248464345932,0.0010000000474974513,0.17499101161956787,0.9231956005096436,2.4766833782196045,0.0539768785238266,315.112548828125,642.22509765625,669.6839150705393,642.3432411161656,0.600518380576986,6.858360393380281e-06,13012261.0,True,0.013292941618912658,6.522404447715402e-06,0.031195558750534955,0.1363907740675395,0.6607004015425288,0.01614883367981512,0.01747115961293083,0.0009872163696873252,0.11384883999091602,0.6558745955137266,1.181734386625096,0.02232574611906154,0.06957853325625557,0.0010127837253075774,0.23613318324821972,1.1905166055055605,3.771632369814113,0.08562801092859165,718,True,50,10,['alpha_neg'],[]
10028,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,699,False,49,0,[],
10029,0.0465204119682312,0.0010000000474974513,0.20479105412960052,0.6559297442436218,3.464200973510742,0.07178492844104767,319.40838623046875,650.8167724609375,678.2922797329982,650.9345845226486,0.5961971632492389,1.0499089512450155e-05,59931448.0,True,0.01535029625992871,1.230677986228375e-05,0.03298094821102288,0.157692661602165,1.2283275156643958,0.01831287673499797,0.016434384146751038,0.0009758792022017123,0.14014958346001494,0.34685780687711615,1.0567232815889676,0.03589234958713019,0.07660643978971136,0.0010241208927931902,0.2694325247991861,0.9650016816101274,5.871678665432517,0.10767750729496514,720,True,50,13,['alpha_neg'],[]
