parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.043507666516109794,0.15192438643814832,0.014045414494773067,0.015688953352446463,0.07132637967977312,117
alpha_neg,0.017975517919756726,0.12229476669300057,0.011306155180321005,-0.004417747018224592,0.04036878285773804,117
phi,0.24314773629387665,0.1794454830265396,0.016589740774425422,0.21028966434199386,0.27600580824575943,117
rho,0.8568430931394936,0.1886253162713825,0.017438416658130295,0.822304111664685,0.8913820746143022,117
capacity,2.9279630398138976,1.2572847522208446,0.11623601646131516,2.697742963188354,3.1581831164394414,117
kappa,0.059904714796534426,0.10575055526179478,0.009776642292440749,0.040540842855385034,0.07926858673768382,117
epsilon,0.06395406571304442,0.08994635198771166,0.008315543182887863,0.0474840846604453,0.08042404676564355,117
nll,465.76097172142096,120.93832837404658,11.18075241337247,,,117
aic,945.5219434428419,241.87665674809315,22.36150482674494,,,117
bic,977.6092620012961,242.01849669457144,22.374617934435623,,,117
