parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.021658746853063106,0.004530112328383698,0.0032032731469368927,-0.01904269757780766,0.06236019128393387,2
alpha_neg,0.0010000000237487257,3.3585769892399065e-11,2.3748725642286358e-11,0.0009999997219925555,0.0010000003255048958,2
epsilon,0.14533324741950987,0.02724492692343115,0.019265072580490105,-0.09945270904546274,0.3901192038844825,2
nll,793.8971252441406,43.36807940895587,30.665863037109375,,,2
aic,1593.7942504882812,86.73615881791174,61.33172607421875,,,2
bic,1608.484331949596,86.74044864817756,61.33475944228985,,,2
