participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,v_scale,A,delta,t0,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.002749790365530345,0.001,0.0010983431484766304,0.6444095486478219,1.4975284120519028,3.802133636058713e-12,0.5606570624564705,0.21113513112500884,0.09641639754566113,0.05000000001718179,719.8452994706049,1459.6905989412098,1508.5865120247545,1459.9171694870388,0.33275821926569493,0.00036549919323454184,,False,982,True,50,2,"['alpha_pos', 'alpha_neg', 'phi', 'kappa', 't0']"
9187,0.004027765186127545,0.001000000000000282,0.6015221729831617,0.4907680547965918,1.0000000000000049,1.3292251089188791e-53,0.6994315773195922,0.18579389909670196,0.07007884131192486,0.05000000000000695,466.4286929921242,952.8573859842484,1001.6714990206738,953.0858387360656,0.5641050382076821,0.0003597528083803367,,False,974,True,50,1,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa', 't0']"
10002,0.004379185250926969,0.001,0.18580513283171946,0.999,2.0,0.1389580054821528,0.510773853137788,0.19588893639505484,0.07197858250980936,0.05000000000000001,379.10633613084633,778.2126722616927,826.6821036575465,778.4492314014776,0.6332864418607063,7.168383235088737,,False,941,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10003,0.0059084149667146405,0.0010000000000001878,0.3430362336284802,0.964155797249306,1.99999992976479,0.07564074186446265,0.47564621232005966,0.3061706730507279,0.07110266413385521,0.05,898.6510421585753,1817.3020843171505,1865.9818284068533,1817.533663264519,0.14881641038311866,0.0001277316987080997,,False,961,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10004,0.0024987947221743016,0.0012837456549206678,0.1650035745135501,0.999,1.1535447515218311,0.08301655857733557,0.7309351504023397,0.16206917741845037,0.11357047833295096,0.05,-69.11870611461873,-118.23741222923746,-69.3618865125913,-118.01037404554293,1.0641985281624675,7.989196442242454e-05,,False,980,True,50,8,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10005,0.001,0.0010000000000025266,0.14795995832040965,0.999,2.632048682562456,0.07781816484496196,0.4506281098881588,0.2331749463469432,0.09244712067252664,0.05,616.7791736192967,1253.5583472385933,1301.9638125314802,1253.7964424766885,0.3995544406473065,0.0005181143300493861,,False,935,True,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10006,0.0026700394716101536,0.001,0.2064345587851811,0.999,2.0000000006559118,0.08073600337848261,0.5109410276140786,0.1380134066190602,0.1062301041635459,0.05,158.51617295191068,337.03234590382135,385.928258987366,337.25891644965037,0.8530675777234286,11.511926117858968,,False,982,False,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10007,0.013677039403688765,0.001,0.27502449152608943,0.23448218630052023,2.1345791006302104,0.21234041357800096,0.4919947711595458,0.26205696857443295,0.001,0.14539067801339123,374.8398225251685,769.679645050337,812.1986838819959,770.1127159164787,0.34259362203419985,0.0033663694603983745,,False,519,True,50,1,"['alpha_neg', 'delta']"
10016,0.0032722199122239967,0.001,0.2059638080589515,0.999,2.000000000000006,0.09659693088844139,0.5024364996366265,0.14597975759147028,0.09396261747396051,0.05,205.97242411604955,431.9448482320991,480.68683318663204,432.17497375511164,0.8061177042049144,18.867399665724157,,False,967,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10017,0.001992662746519849,0.0010000000000000013,0.010121577375015265,0.6473301466217093,3.9709741271599706,0.11127806696284837,0.44479191170709287,0.14711935086240197,0.09312339187403659,0.0726009385918237,379.10965417157274,778.2193083431455,827.1457247548664,778.4451810330838,0.649664488913807,0.00012822890133590989,,False,985,True,50,1,"['alpha_pos', 'alpha_neg', 'phi']"
10018,0.0029546253066955156,0.001,0.2567135962915344,0.8636303937794502,1.818152493838677,0.060272363242292105,0.45828832187471535,0.14459407194232934,0.1083459191786366,0.05,620.7190233166816,1261.4380466333632,1310.3746101793895,1261.6636876590042,0.426974844080789,0.00019039502028308047,,False,986,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10024,0.003168291087516857,0.001,0.2531727907366072,0.999,1.9999999999998936,0.12714686197113587,0.5554982489880611,0.1495569654326947,0.11180421428094527,0.05,133.15768378184274,286.31536756368547,332.0661259696817,286.6269822945637,0.8309548854881375,6.682148448941399,,False,717,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10025,0.0597514496717424,0.001,0.6359339726864681,0.33205706900758847,5.0,0.10558436094333572,0.397044329109962,0.23123943775691758,0.018529828929122295,0.10865675530245113,254.34002357126624,528.6800471425324,567.868985685264,529.289465425081,0.3776605743124706,0.4768055735582843,,False,372,False,50,9,['alpha_neg']
10027,0.009899442218441166,0.001000000000000001,0.2399129330200563,0.6346359720768695,1.9996629290564498,0.04889787074402813,0.5095688805555036,0.1136472074944912,0.118663464212109,0.09218915158549779,25.88991384380725,71.7798276876145,117.54452337809674,72.09100166215481,0.9671782518737847,0.00027626953040434734,,False,718,True,50,6,"['alpha_pos', 'alpha_neg']"
10028,0.016285120864002838,0.001,0.9612267583549622,0.6450775810419427,6.999950869620482,2.5200746801796203e-13,0.5306054338032169,0.2419697731403306,0.025817247844811705,0.11095976844373423,672.4210738937238,1364.8421477874476,1410.0777708489427,1365.1705059964029,0.10122755026635744,4.5490027963841854e-05,,False,681,True,50,1,"['alpha_neg', 'capacity', 'kappa']"
10029,0.003651259223345214,0.001,0.21735696168069463,0.9989999999999998,1.433108415387017,0.014072582198481873,0.5662098172741326,0.1332247056711107,0.1041814012774029,0.05,40.563717358392324,101.12743471678465,146.90604829399513,101.43816918006148,0.9486471672914984,0.0002142160678651709,,False,719,True,50,4,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10030,0.00630752600682506,0.0010000000000015346,0.021120050029257657,0.999,1.9999999999999856,0.12476727953022576,0.4950416158522043,0.14126754895656554,0.1320655114911446,0.08716918908758176,141.7154021222313,303.4308042444626,349.13963386785844,303.7437487679334,0.8193348486990881,0.6642384452595822,,False,714,False,50,3,"['alpha_pos', 'alpha_neg', 'rho']"
10031,0.004725197297638237,0.0010000011531986523,0.21503255633861856,0.8607684046023176,1.95145952659183,0.0604836162152867,0.5308485247712916,0.21411586291079027,0.07450291619021898,0.05000000002325375,321.8930957227806,663.7861914455611,709.1820510017378,664.109245777426,0.5765899963768464,0.0006665969741845914,,False,692,False,50,1,"['alpha_pos', 'alpha_neg', 't0']"
10035,0.003607855488949807,0.001,0.22477439946527505,0.613349394578583,2.262160855598351,0.014234406582311173,0.5244807807581752,0.1260393826943012,0.09040955326879441,0.1512760315562165,118.47504383753645,256.9500876750729,302.70084608106913,257.2617024059511,0.8495946551223712,0.00021147105067941772,,False,717,True,50,1,"['alpha_pos', 'alpha_neg']"
10036,0.00443200241601316,0.001,0.5310153756335619,0.25528105387124556,6.5354888180073285,2.6453656841648613e-188,0.690277915704263,0.2938797765509215,0.16106034149023657,0.05000000000001082,615.2407683492339,1250.4815366984678,1296.120091963789,1250.7967229448861,0.21013218452537685,0.0002740374008043866,,False,709,True,50,1,"['alpha_pos', 'alpha_neg', 'kappa', 't0']"
10039,0.003755148987192878,0.0010000000015886593,0.22618618167649798,0.8088118467218139,2.2712690880339252,0.07286025183812411,0.4729804797024363,0.2145791242354182,0.08873802688317721,0.05,466.64734529118226,953.2946905823645,998.9191315193017,953.6103290328667,0.400055482082892,9.855242171515107e-05,,False,708,True,50,1,"['alpha_pos', 'alpha_neg', 't0']"
10041,0.025843550317344387,0.001,0.9649245187309379,0.6621719468703028,7.0,0.09726788320565145,0.5339024341128529,0.26368298328064005,0.04262422704647606,0.05,703.0682862922044,1426.136572584409,1471.2836994931342,1426.4678978856136,0.051910617510411816,2.9706086219444287e-05,,False,675,True,50,4,"['alpha_neg', 'capacity', 't0']"
10043,0.004704682078488006,0.001,0.4265054635823468,0.6237230692650776,1.9994567303659392,0.03130204056659251,0.5325908863837631,0.19427364768994504,0.11579101068396261,0.050000000000001356,540.9711392869225,1101.942278573845,1147.6511081972408,1102.2552230973158,0.3103457262577487,0.0001988898972494393,,False,714,True,50,5,"['alpha_pos', 'alpha_neg', 't0']"
