participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10000,0.009505324065685272,0.0010000000474974513,0.3361439108848572,0.8600149750709534,2.7305102348327637,1.9710402199279997e-09,0.07009434700012207,757.8214111328125,1529.642822265625,1563.9126011498602,1529.7571079799106,0.3018231020336136,3.1536594178760424e-05,72498648.0,True,0.0028759097554490677,2.3556291607088423e-06,0.05599128954722701,0.08628984032795556,0.3679054354651897,9.392499295723435e-06,0.05067948142953192,0.003868644522217705,0.0009953830991815296,0.22640299992433824,0.6908899957964485,2.009428831604467,-1.8406989304215825e-05,-0.029235611356926997,0.01514200360915284,0.001004616995813373,0.44588482184537614,1.0291399543454582,3.4515916380610605,1.841093138465568e-05,0.16942430535717112,988,True,49,4,"['alpha_pos', 'alpha_neg', 'kappa']",[]
9187,0.012072230689227581,0.0010000000474974513,0.1906820833683014,0.21781490743160248,2.999999761581421,0.012071525678038597,0.056829098612070084,865.6524047851562,1745.3048095703125,1779.588744172213,1745.4188625234692,0.20409012579868424,0.5941177010536194,3374728.0,True,0.003877818387242703,1.5863089233458933e-06,0.07476036647454003,0.09443374405118926,2.000310619653604,0.01777613266946652,0.13199953152761576,0.004471846311644686,0.0009968909391393388,0.04415445760718725,0.03272817016599794,-0.920537010832641,-0.02276905413852163,-0.20188522915821616,0.019672615066810475,0.0010031091558555638,0.3372097091294155,0.402901644697207,6.920536533995483,0.04691210549459882,0.31554342638235633,990,False,50,9,['alpha_neg'],"[('alpha_pos', 'epsilon', 0.9240201115608215)]"
10002,0.03173201158642769,0.0010000000474974513,0.0010002353228628635,0.961502194404602,2.3531665802001953,0.10913785547018051,0.0774851143360138,549.3555297851562,1112.7110595703125,1146.9666540525309,1112.8255789977154,0.4928550176725993,1.240421443071682e-05,inf,True,0.008506466685870753,4.776413698573748e-06,,0.06682218334098929,0.4139492944388132,0.016767814200953406,0.02104471839792953,0.01505964324643122,0.000990638448672983,,0.8305331216879307,1.541840871674355,0.07627354353685256,0.03623822421128445,0.04840437992642416,0.0010093616463219197,,1.0924712671212735,3.1644922887260356,0.14200216740350846,0.11873200446074314,986,True,49,9,"['alpha_neg', 'phi']","[('alpha_pos', 'phi', 57827.359375), ('alpha_neg', 'phi', -6.531920433044434), ('phi', 'rho', -31017.5546875), ('phi', 'capacity', -96293.78125), ('phi', 'kappa', 7621.201171875), ('phi', 'epsilon', 10119.5859375)]"
10003,0.011485181748867035,0.0010000000474974513,0.3243826627731323,0.934783935546875,2.558804512023926,0.02966354973614216,0.0010000000474974513,628.2999267578125,1270.599853515625,1304.7625420909271,1270.7159156917908,0.4122268865141523,0.007371958810836077,228599920.0,True,0.0016483331100890569,2.575147280767079e-06,0.022767627196771095,0.045671258820447695,0.2570923454845037,0.018018855072862088,1.2735400878505353e-05,0.008254508218567588,0.0009949528515722616,0.27975893345402636,0.8452699131301903,2.0549127741733697,-0.005652757249314383,0.0009750391204469011,0.014715855279166482,0.001005047243422641,0.3690063920922383,1.0242979579635598,3.062696249874482,0.0649798567215987,0.0010249609745480016,973,False,49,4,"['alpha_neg', 'epsilon']",[]
10004,0.061817750334739685,0.0010000000474974513,0.10518710315227509,0.9990000128746033,3.2603983879089355,0.03228491544723511,0.0793275386095047,410.9294738769531,835.8589477539062,870.1428823558067,835.9730007070631,0.6221776500000697,7.3430001066299155e-06,722282432.0,True,0.02120733466534727,1.849570405088278e-05,0.030636687113538837,4.641245758158685e-05,0.605210952994467,0.012684364751534888,0.01442350481718755,0.020252138182571232,0.0009637491336890095,0.04514029980411658,0.9989090461293094,2.0742067169906164,0.007424017367457375,0.05105798863697712,0.10338336248690813,0.0010362509613058932,0.1652339065004336,0.9990909796198971,4.446590058827255,0.05714581352701284,0.10759708858203228,990,True,50,2,"['alpha_neg', 'rho']",[]
10005,0.00932403840124607,0.0010000000474974513,0.1445569097995758,0.9700354933738708,2.84394907951355,0.0191971343010664,0.0010000000474974513,501.5638427734375,1017.127685546875,1051.3761770350795,1017.242322189659,0.5365044828933214,0.05317219719290733,1359568768.0,True,0.0011921115603523184,4.212887863144554e-06,0.06166950659464607,0.029733160975867274,0.13894189766070444,0.011249859274015976,2.795251780641229e-05,0.006987542677401679,0.000991742939014782,0.023686897929714165,0.9117595687146391,2.571627964154919,-0.002852184707148833,0.0009452141193196686,0.011660534125090462,0.0010082571559801206,0.26542692166943743,1.0283114180331026,3.1162701948721807,0.04124645330928163,0.0010547859756752339,985,False,48,6,"['alpha_pos', 'alpha_neg', 'epsilon']",[]
10006,0.03377145901322365,0.0010000000474974513,0.16987791657447815,0.9990000128746033,2.807466506958008,0.024706482887268066,0.06310627609491348,449.7471008300781,913.4942016601562,947.7568919361906,913.6086041116373,0.5852305438325911,1.553848596813623e-05,753350272.0,True,0.00936700616317368,3.414686752352152e-06,0.028162222270837603,4.281074966981871e-05,0.3030024758650651,0.012050174853459147,0.015579890004676664,0.015412464290438518,0.000993307384444355,0.11468097519902463,0.9989161053470993,2.213592567036013,0.0010885741670779124,0.03257025280265165,0.052130453736008775,0.0010066927105505477,0.22507485794993165,0.9990839204021073,3.4013404468800026,0.04832439160745822,0.09364229938717532,987,True,49,5,"['alpha_neg', 'rho']",[]
10007,0.011003890074789524,0.0010000000474974513,0.4125273525714874,0.2706632912158966,2.0710978507995605,0.3387588858604431,0.0010000000474974513,821.6119384765625,1657.223876953125,1691.4865672291594,1657.338279404606,0.24228630651845706,7.859226752771065e-05,1124312448.0,True,0.0012637612045565444,1.6189452407685535e-06,0.10921287965079887,0.13574159752850842,1.6461871329115165,0.025772088251194286,3.565516262196396e-05,0.00852696362879974,0.0009968269731326024,0.19847404180801428,0.0046146488560888654,-1.155369641520263,0.28824652108171445,0.0009301172128954832,0.013480816520779308,0.0010031731218623002,0.6265806633349605,0.5367119335757043,5.297565343119384,0.3892712506391718,0.0010698828820994194,987,True,50,12,"['alpha_neg', 'epsilon']",[]
10016,0.0037147505208849907,0.0010000000474974513,0.1880975067615509,0.9990000128746033,4.436120986938477,2.7518057352490955e-21,0.07571321725845337,508.2680969238281,1030.5361938476562,1064.7988841236906,1030.6505962991373,0.531260831344438,1.6152642274391837e-05,inf,True,0.003177128883111938,4.3636498812902545e-06,0.017083712098380232,,0.32330693945509975,,0.018624307453029277,-0.0025123076642563757,0.00099144745088898,0.15461404632647446,,3.802451029654609,,0.03921024541351508,0.009941808706026357,0.0010085526441059227,0.22158096719662734,,5.069790944222344,,0.11221618910339165,987,True,49,1,"['alpha_pos', 'alpha_neg', 'rho', 'kappa']","[('alpha_pos', 'rho', 68786.421875), ('alpha_pos', 'kappa', 4972.96240234375), ('alpha_neg', 'rho', -33.16367721557617), ('alpha_neg', 'kappa', -1.714896559715271), ('phi', 'rho', -7372.6337890625), ('phi', 'kappa', -2460.656982421875), ('rho', 'capacity', -58889.44921875), ('rho', 'kappa', 638714240.0), ('rho', 'epsilon', -107418.765625), ('capacity', 'kappa', -5569.95849609375), ('kappa', 'epsilon', 16566.6640625)]"
10017,0.002720119897276163,0.0010000000474974513,0.009640930220484734,0.9990000128746033,4.9481401443481445,0.0409211628139019,0.0899345800280571,471.76739501953125,957.5347900390625,991.790384521281,957.6493094664654,0.5644815529509779,1.9736549802473746e-05,inf,True,0.004108093790095709,5.173959295184229e-06,0.05362181858310816,,0.24396931394664034,0.014572513050890216,0.022338477150036777,-0.005331595976424075,0.000989859273621414,-0.09545590298794786,,4.469969075679784,0.012359562069917174,0.046151969344514064,0.010771835770976401,0.0010101408213734886,0.11473776342891732,,5.426311213016505,0.06948276355788663,0.13371719071160013,986,True,50,1,"['alpha_pos', 'alpha_neg', 'phi', 'rho']","[('alpha_pos', 'rho', 149539.796875), ('alpha_neg', 'rho', -176.38140869140625), ('phi', 'rho', -8.381688117980957), ('rho', 'capacity', -91268.9453125), ('rho', 'kappa', 18123.11328125), ('rho', 'epsilon', -459474.90625)]"
10018,0.009327340871095657,0.0010000000474974513,0.23411011695861816,0.9990000128746033,2.2123968601226807,0.04595508798956871,0.0010000000474974513,637.7191162109375,1289.438232421875,1323.6938269040934,1289.552751849278,0.41128097855477286,2.652814146131277e-05,1687681920.0,True,0.0013062962708862123,3.882326559077121e-06,0.023954403832959596,4.241865457411323e-05,0.21260814414475043,0.014763816889191681,1.611808115473714e-05,0.006767047227019703,0.0009923908272654368,0.18716034817488914,0.9989168738393653,1.7956925547790694,0.01701853861240884,0.0009684091889342728,0.011887634515171611,0.0010076092677294658,0.2810598857423472,0.9990831519098412,2.6291011654662917,0.07489163736672858,0.00103159090606063,986,True,49,13,"['alpha_pos', 'alpha_neg', 'rho', 'epsilon']",[]
10024,0.017929241061210632,0.0010000000474974513,0.21912233531475067,0.9990000128746033,2.8142659664154053,0.10398311913013458,0.0044913385063409805,354.2311096191406,722.4622192382812,754.4975062216188,722.6199657171545,0.5509261124416531,1.5094615264388267e-05,563782144.0,True,0.003282594394420406,3.640172070531869e-06,0.027313730204916363,2.724066326290864e-05,0.1741551040053031,0.021207624289662354,0.008617478994899832,0.011495474272293568,0.0009928654413416803,0.16558840782967077,0.998946622155693,2.472928234841184,0.06241693932473952,-0.012398609961193116,0.024363007850127696,0.0010071346536532223,0.2726562627998306,0.9990534035935136,3.1556036979896267,0.14554929893552965,0.021381286973875077,718,True,50,15,"['alpha_neg', 'rho', 'epsilon']",[]
10025,0.09201572090387344,0.0010000000474974513,0.6292062401771545,0.2099902480840683,4.999989032745361,0.052966274321079254,0.06478693336248398,251.5301055908203,517.0602111816406,545.2412729984178,517.3360732506061,0.4469744715305435,0.513857364654541,1197881.875,True,0.03619267093635957,2.4527264461148228e-06,0.08510020182457755,0.09638038118115479,2.373977971201446,0.03235647577661847,0.03208417192879858,0.021079389364299136,0.0009951927919991373,0.46241290952389275,0.02108817215276293,0.34707770909906177,-0.010451252867735614,0.0019031119082477538,0.16295205244344774,0.0010048073029957653,0.7959995708304164,0.39889232401537367,9.652900356391662,0.11638380150989412,0.1276707548167202,414,False,50,15,['alpha_neg'],[]
10027,0.043524906039237976,0.0010000000474974513,0.17499099671840668,0.9231958985328674,2.476680278778076,2.258196185514063e-25,0.053976915776729584,315.112548828125,644.22509765625,676.2603846395875,644.3828441351233,0.600518380576986,4.5299611883820035e-06,72974896.0,True,0.01329295578160621,6.5224111481547874e-06,0.031195567346292183,0.13639043223033623,0.6607002637632332,1.547702987452656e-05,0.016148830943721208,0.01747119145920632,0.0009872163565547054,0.11384880824238025,0.6558755635255574,1.181731557226025,-3.033442114172253e-05,0.022325788734610046,0.06957862061926963,0.0010127837384401972,0.2361331851944331,1.1905162335401775,3.7716290003301274,3.033442114172253e-05,0.08562804281884911,718,True,47,7,"['alpha_neg', 'kappa']",[]
10028,0.014759579673409462,0.0010000000474974513,0.8075878620147705,0.6789930462837219,3.138434886932373,0.020083481445908546,0.010123932734131813,687.1644287109375,1388.328857421875,1420.1764126175117,1388.4909413581993,0.10517307846163637,3.249017390771769e-05,1809698.875,True,0.004266980165679606,2.1537295414509833e-06,0.04330976006950425,0.1467000972384799,0.9127875977891762,0.024302006555561893,0.08781180402015913,0.006396452225930681,0.0009957788151637673,0.7227022920994712,0.39146613916777745,1.349404069730755,-0.027547576155049054,-0.1619840405628696,0.023122707120888243,0.0010042212798311353,0.8924734319300698,0.9665199533996665,4.927465704133991,0.06771453904686614,0.18223190603113323,699,True,50,8,"['alpha_neg', 'epsilon']",[]
10029,0.045905303210020065,0.0010000000474974513,0.20479899644851685,0.6526305675506592,3.4701573848724365,0.021255752071738243,0.052247267216444016,317.5574951171875,649.114990234375,681.1697487184457,649.2722936051615,0.5985370989374661,1.1819523024314549e-05,61580760.0,True,0.013823125136350275,1.2547056400408327e-05,0.030734494771245728,0.15376042589877906,1.2215270294352996,0.012024273718324324,0.018396330990730788,0.018812475788983204,0.0009754082688406582,0.1445604936138406,0.3512656705415125,1.076008401037051,-0.0023113913564289518,0.016191121026933618,0.07299813063105692,0.0010245918261542445,0.2650374992831931,0.9539954645598059,5.8643063687078225,0.04482289549990544,0.0883034134059544,720,True,49,4,['alpha_neg'],[]
10030,0.0322696790099144,0.0010000000474974513,0.0010368607472628355,0.9270092844963074,2.851499080657959,0.04126359894871712,0.023627951741218567,277.7778625488281,569.5557250976562,601.5714862663808,569.7139171880517,0.6468654933233222,6.665334240096854e-06,2137653760.0,True,0.007074848702253065,1.4953042865606273e-05,0.2739115628825074,0.12247357076115042,0.47500858435803217,0.014284826727288112,0.011843551066904262,0.01840323035742845,0.0009706926220215794,-0.5358199374515299,0.6869654967464347,1.9204993629688598,0.013265853037837248,0.0004150182010252794,0.04613612766240034,0.0010293074729733232,0.5378936589460556,1.16705307224618,3.782498798347058,0.06926134485959698,0.04684088528141185,716,True,49,2,"['alpha_neg', 'phi']",[]
10031,0.009983371943235397,0.0010000000474974513,0.2183590531349182,0.8754844069480896,3.4479782581329346,0.035518791526556015,0.013640055432915688,424.9169616699219,863.8339233398438,895.878952843891,863.9914479530646,0.4620638573420651,2.7844707801705226e-05,5100728.5,True,0.0031590824164611938,2.468275424841169e-06,0.020585069846923255,0.0739679878084458,0.5229598636390264,0.017064345251622655,0.043992202468703716,0.003791684182777693,0.0009951623165608374,0.17801305761570718,0.7305098148346381,2.4229957600404655,0.0020732894136185273,-0.07258307700633765,0.016175059703693102,0.0010048377784340652,0.25870504865412924,1.0204589990615411,4.472960756225404,0.0689642936394935,0.09986318787216902,719,True,50,3,"['alpha_pos', 'alpha_neg']",[]
10035,0.01083325408399105,0.0010000000474974513,0.193524569272995,0.9990000128746033,2.67033314704895,0.0072945584543049335,0.001000003656372428,373.418212890625,760.83642578125,792.8619566654473,760.9943947516308,0.5259415546583847,3.0096036425675265e-05,365929696.0,True,0.0016826001539809268,3.034171540703203e-06,0.023665608665767706,1.9972751446040908e-05,0.1714859975813857,0.01621911209074227,1.073686082280716e-05,0.007535418381806885,0.0009940531805547566,0.1471408286158713,0.9989608670010969,2.3342267679365114,-0.02449431710476805,0.0009789597958527068,0.014131089786175216,0.001005946914440146,0.2399083099301187,0.9990391587481097,3.006439526161389,0.03908343401337792,0.001021047516892149,717,True,50,5,"['alpha_pos', 'alpha_neg', 'rho', 'kappa', 'epsilon']",[]
10036,0.013556521385908127,0.0010000000474974513,0.41870808601379395,0.859083354473114,2.192657947540283,1.0848575049361361e-13,0.0010000000474974513,518.4395141601562,1050.8790283203125,1082.8653982632127,1051.0378935685394,0.3381430821571755,3.568148531485349e-05,518523616.0,True,0.001729818561931151,2.0964575357981176e-06,0.026731000780474374,0.08179904425426654,0.38146260423807826,2.1468244414223783e-05,2.0157762659750474e-05,0.0101661393047342,0.0009958910662321693,0.3663162872133521,0.6987601737649536,1.4450049817847936,-4.207698575469605e-05,0.0009604915586754341,0.016946903467082053,0.0010041090287627333,0.4710998848142358,1.0194065351812744,2.9403109132957725,4.207698597166755e-05,0.0010395085363194686,713,True,50,5,"['alpha_neg', 'kappa', 'epsilon']",[]
10039,0.006934582721441984,0.0010000000474974513,0.2052408903837204,0.9990000128746033,2.8445980548858643,0.03219793736934662,0.0010000000474974513,422.0948181152344,858.1896362304688,890.1563432390915,858.3489534424175,0.4596241057603284,8.104080916382372e-05,1331974272.0,True,0.0013374884137718074,2.8306262021624847e-06,0.022489720433690907,2.8636944686625867e-05,0.11210615105232481,0.014966886812251416,1.5051093440797643e-05,0.004313153600709637,0.0009944521220875174,0.1611618483113117,0.9989438854943902,2.6248740363779004,0.0028633782566463463,0.0009705004464255409,0.009556011842174332,0.0010055479729073852,0.2493199324561291,0.9990561402548164,3.064322073393828,0.061532496482046894,0.0010294996485693618,711,True,46,6,"['alpha_pos', 'alpha_neg', 'rho', 'epsilon']",[]
