participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_se,phi_rl_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_ci_lower,phi_rl_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_ci_upper,phi_rl_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations
10000,0.03341829776763916,0.0010000000474974513,0.27104225754737854,0.7300161123275757,1.9859955310821533,6.567742362332055e-14,0.07232450693845749,0.07847045361995697,755.3706665039062,1526.7413330078125,1565.9067945897955,1526.8884218740025,0.3040809602276172,2.332803160243202e-05,inf,True,0.013430407693086456,5.774290035030531e-06,0.0650528729609938,,,8.16564567029666e-06,0.03129853641650464,0.04088094930496441,0.007095182391500032,0.000988682646992503,0.1435409694529712,,,-1.6004371358619458e-05,0.010980502793293073,-0.001654734671581018,0.05974141314377829,0.0010113174480023996,0.39854354564178585,,,1.6004371489974305e-05,0.1336685110836219,0.15859564191149494,988,True,50,10,"['alpha_neg', 'kappa']","[('alpha_pos', 'rho', -18114.607421875), ('alpha_pos', 'capacity', -15783.798828125), ('alpha_neg', 'rho', -9.090243339538574), ('alpha_neg', 'capacity', -24.73834228515625), ('phi', 'rho', -3098.4365234375), ('phi', 'capacity', 17087.197265625), ('rho', 'capacity', 4249103487729664.0), ('rho', 'phi_rl', 12345.984375), ('rho', 'epsilon', -21533.88671875), ('capacity', 'kappa', 6.647141456604004), ('capacity', 'phi_rl', -32750.53125), ('capacity', 'epsilon', 20201.580078125)]"
9187,0.026786495000123978,0.0010000001639127731,0.7309474349021912,0.18522952497005463,1.0,6.597138835218175e-09,0.03624092787504196,0.11291033029556274,860.0560302734375,1736.112060546875,1775.2937000919042,1736.2588495377006,0.2092356203516752,1.990548480534926e-05,inf,True,0.0069060989697465386,3.1578686567758022e-06,0.1454599825434133,0.21263183693571636,,,0.010937232636735596,0.08752863032638782,0.01325078974575159,0.0009938108550775846,0.4458511079252761,-0.23152121739054304,,,0.014804345816504142,-0.05864263276027773,0.040322200254496364,0.0010061894727479617,1.0160437618791063,0.6019802673306522,,,0.057677509933579785,0.2844632933514032,990,True,50,38,"['alpha_neg', 'capacity', 'kappa']","[('alpha_pos', 'capacity', 8483.4482421875), ('alpha_pos', 'kappa', 52121.9921875), ('alpha_neg', 'capacity', 11.369752883911133), ('alpha_neg', 'kappa', 53.1337890625), ('phi', 'capacity', -10028.283203125), ('phi', 'kappa', 26723.544921875), ('rho', 'capacity', 23572733952.0), ('rho', 'kappa', 10251.333984375), ('capacity', 'kappa', 913446976.0), ('capacity', 'phi_rl', 7156.02001953125), ('capacity', 'epsilon', 9314.0751953125), ('kappa', 'phi_rl', 33142.78125), ('kappa', 'epsilon', 88071.515625)]"
10002,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,986,False,49,0,[],
10003,0.03447342664003372,0.0010000000474974513,0.3097566068172455,0.9977650046348572,1.576027512550354,0.022036632522940636,0.060968801379203796,0.001000000280328095,621.4282836914062,1258.8565673828125,1297.8996400403005,1259.0059449761734,0.41865529254747325,1.422453897248488e-05,inf,True,0.00886432100629811,5.367978436310444e-06,0.03879794201374833,,,0.01696747315064699,0.01812617642246652,3.082427252378849e-05,0.017099676720287577,0.0009894790030924951,0.23371403779602534,,,-0.011219003760977828,0.02544214841375033,0.000939585816331822,0.05184717655977987,0.0010105210919024075,0.3857991758384656,,,0.0552922688068591,0.09649545434465726,0.001060414744324368,973,True,50,11,"['alpha_neg', 'rho', 'epsilon']","[('alpha_pos', 'rho', 39835.09765625), ('alpha_pos', 'capacity', -36408.63671875), ('alpha_pos', 'phi_rl', 0.9141781330108643), ('alpha_neg', 'rho', 29.276018142700195), ('alpha_neg', 'capacity', -26.951263427734375), ('phi', 'rho', -9990.130859375), ('phi', 'capacity', 8369.345703125), ('rho', 'capacity', 1658280027881472.0), ('rho', 'kappa', -3495.83984375), ('rho', 'phi_rl', 6344.7353515625), ('rho', 'epsilon', -37.09077072143555), ('capacity', 'kappa', 4102.2939453125), ('capacity', 'phi_rl', -29610.1640625), ('capacity', 'epsilon', 10.406597137451172)]"
10004,0.06203678250312805,0.0010000000474974513,0.10518275946378708,0.9990000128746033,3.2618753910064697,0.03228548541665077,0.0010000000474974513,0.07932779937982559,410.9413146972656,837.8826293945312,877.0642689395603,838.029418385357,0.6221667631524699,7.229001766972942e-06,725063360.0,True,0.0213455034964344,1.860922898627097e-05,0.03063247762551603,4.6494753596802405e-05,0.6053434091706649,0.012685056084944442,2.9206386866139223e-05,0.01443866480302867,0.020200364418242835,0.0009635266289043014,0.04514420656054663,0.9989088848320835,2.075424110753273,0.007423232348289004,0.0009427565811212748,0.05102853638104329,0.10387320058801328,0.0010364734660906012,0.16522131236702753,0.999091140917123,4.448326671259666,0.05714773848501254,0.001057243513873628,0.10762706237860789,990,True,50,1,"['alpha_neg', 'rho', 'phi_rl']",[]
10005,0.02335459366440773,0.0010000000474974513,0.12279748916625977,0.9461046457290649,2.677985191345215,0.017633795738220215,0.04473680257797241,0.0010000000474974513,495.7109069824219,1007.4218139648438,1046.5629470942204,1007.5693549484503,0.5419131851754642,6.2165722738427576e-06,453458816.0,True,0.006185206814679323,5.744289122244602e-06,0.05843847518874297,0.05229039487663427,0.25590198110712375,0.010765530975007093,0.014259014011691773,1.6098406228176074e-05,0.01123181107070455,0.0009887414477010668,0.008260182484886011,0.843617355033484,2.176426524802803,-0.003466257247244059,0.016789648660004545,0.0009684477510817309,0.03547737625811091,0.0010112586472938358,0.2373347958476335,1.0485919364246459,3.1795438578876265,0.03873384872368449,0.07268395649594028,0.0010315523439131716,985,True,50,9,"['alpha_neg', 'epsilon']",[]
10006,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,987,False,49,0,[],
10007,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,987,False,49,0,[],
10016,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,987,False,49,0,[],
10017,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,986,False,49,0,[],
