participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,alpha_pos_se,alpha_neg_se,phi_se,rho_se,capacity_se,kappa_total_se,kappa_share_se,epsilon_se,alpha_pos_ci_lower,alpha_neg_ci_lower,phi_ci_lower,rho_ci_lower,capacity_ci_lower,kappa_total_ci_lower,kappa_share_ci_lower,epsilon_ci_lower,alpha_pos_ci_upper,alpha_neg_ci_upper,phi_ci_upper,rho_ci_upper,capacity_ci_upper,kappa_total_ci_upper,kappa_share_ci_upper,epsilon_ci_upper,n_trials,converged,n_successful_starts,n_near_best,at_bounds,high_correlations,parameterization_version
10000,0.007424021139740944,0.0010000000474974513,0.290726900100708,0.9393472671508789,2.7740535736083984,0.11877342313528061,2.9236175654902274e-13,0.09998676180839539,748.4443359375,1512.888671875,1552.054133456983,1513.03576074119,0.31046215231074215,2.8905955332447775e-05,351388640.0,True,0.002401877853981766,3.0771234891262224e-06,0.04133488926025552,0.10901963929290637,0.33621147964478504,0.02942828146624099,2.5075566155494312e-05,0.06535047976735928,0.002716427050672328,0.0009939689962827818,0.20971200584565572,0.7256727005292347,2.115091182315698,0.06109505133454069,-4.91472062643586e-05,-0.028097824908042274,0.01213161522880956,0.0010060310987121208,0.37174179435576027,1.153021833772523,3.4330159649010987,0.17645179493602053,4.9147206849082116e-05,0.22807134852483305,988,True,48,11,"['alpha_pos', 'alpha_neg', 'kappa_share']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
9187,0.010124399326741695,0.0010000000474974513,0.17090405523777008,0.26494163274765015,2.999988555908203,0.11121218651533127,0.046036552637815475,0.01730717159807682,857.589599609375,1731.17919921875,1770.3608387637792,1731.3259882095756,0.21150333948317512,0.6795333027839661,inf,True,,1.7679898144734202e-06,0.06700646471555835,,,0.025728944553119616,0.14370394407878168,,,0.0009965348511360498,0.0395737976639218,,,0.060784381830988825,-0.2356180021929546,,,0.0010034652438588529,0.3022343128116184,,,0.1616399911996737,0.32769110746858554,,990,False,47,6,"['alpha_pos', 'alpha_neg']","[('alpha_pos', 'alpha_neg', -142.78738403320312), ('alpha_pos', 'phi', 75159.5859375), ('alpha_pos', 'rho', -4148558848.0), ('alpha_pos', 'capacity', 45990944768.0), ('alpha_pos', 'kappa_total', 43693.76953125), ('alpha_pos', 'kappa_share', 17424.458984375), ('alpha_pos', 'epsilon', -63269556224.0), ('alpha_neg', 'rho', -150.3493194580078), ('alpha_neg', 'capacity', 1804.4390869140625), ('alpha_neg', 'epsilon', -1944.8057861328125), ('phi', 'rho', 69062.4765625), ('phi', 'capacity', -662711.5625), ('phi', 'epsilon', 1422524.0), ('rho', 'capacity', 37618999296.0), ('rho', 'kappa_total', 43462.109375), ('rho', 'kappa_share', 12373.05078125), ('rho', 'epsilon', -66983620608.0), ('capacity', 'kappa_total', -469878.25), ('capacity', 'kappa_share', -184302.609375), ('capacity', 'epsilon', 862644535296.0), ('kappa_total', 'epsilon', 748788.125), ('kappa_share', 'epsilon', 141955.6875)]","v4.0-K[2,6]-phiapprox-stickbreaking"
10002,0.028028307482600212,0.0010000000474974513,0.0010000000474974513,0.9990000128746033,2.4623589515686035,0.16821613907814026,0.6308007836341858,0.07525984197854996,546.80517578125,1109.6103515625,1148.759602399321,1109.7577415317937,0.4952094114415042,1.0292081242369022e-05,inf,True,0.008045591251000158,5.4048198885787484e-06,,3.940059879323034e-05,0.3582582825553587,0.03423225820888688,0.12772719508435418,0.022769068572018283,0.012259238396309345,0.0009894067951729112,,0.9989227891199992,1.7601856205969262,0.10112214587924635,0.3804600814225302,0.030633287615871287,0.04379737656889108,0.0010105932998219914,,0.9990772366292073,3.164532282540281,0.23531013227703418,0.8811414858458414,0.11988639634122863,986,True,47,9,"['alpha_neg', 'phi', 'rho']","[('alpha_pos', 'phi', 44930.2578125), ('alpha_neg', 'phi', -21.603412628173828), ('phi', 'rho', -8.90693187713623), ('phi', 'capacity', -110688.359375), ('phi', 'kappa_total', 22660.751953125), ('phi', 'kappa_share', -16171.6240234375), ('phi', 'epsilon', 4851.57861328125)]","v4.0-K[2,6]-phiapprox-stickbreaking"
10003,0.009996996261179447,0.0010000000474974513,0.3170500099658966,0.9692971110343933,2.678434133529663,0.12635007500648499,0.17435704171657562,0.0010000000474974513,619.9952392578125,1255.990478515625,1295.033551173113,1256.139856108986,0.4199959022668528,3.097683293162845e-05,387837664.0,True,0.001744994919308476,3.3069372911493733e-06,0.024020933071661074,0.03255547166155168,0.2234515944727471,0.03290610501347318,0.12183342556197735,1.8103323883908147e-05,0.006576869066129457,0.0009935185695076662,0.26996984627039383,0.9054895590780376,2.2404770560750293,0.06185529430858465,-0.06443208449804158,0.0009645181846845276,0.013417123456229437,0.0010064815254872364,0.3641301736613994,1.033104662990749,3.116391210984297,0.1908448557043853,0.41314616793119285,0.001035481910310375,973,True,50,3,"['alpha_pos', 'alpha_neg', 'epsilon']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
10004,0.060334041714668274,0.0010000000474974513,0.10516313463449478,0.9989997744560242,3.3308534622192383,0.04180257022380829,0.7716705203056335,0.07860463112592697,410.81396484375,837.6279296875,876.809569232529,837.7747186783257,0.6222838528819397,9.99072926788358e-06,129836072.0,True,0.02118932987301437,2.0051368210130827e-05,0.030626946127452377,0.00022433897731627474,0.6229707880988549,0.024681158694453125,0.40244629438778434,0.014592863364503212,0.018803718307021433,0.0009607000879648435,0.04513542326823964,0.9985600781401557,2.109853154124949,-0.006571611914037455,-0.017109722406027816,0.050003144500186676,0.10186436512231511,0.001039300007030059,0.16519084600074993,0.9994394707718927,4.551853770313528,0.09017675236165404,1.560450763017295,0.10720611775166727,990,True,50,7,"['alpha_neg', 'rho']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
10005,0.004790646489709616,0.0010000000474974513,0.1589488983154297,0.9678977727890015,3.795865058898926,0.18738698959350586,0.08596795052289963,0.0010000000474974513,485.3164367675781,986.6328735351562,1025.7740066645329,986.7804145187628,0.5515187227689211,9.742452675709501e-06,363719968.0,True,0.0020745381278666855,8.103421851338819e-06,0.037554102465685565,0.01928848118011067,0.36346450334379554,0.03863316907049775,0.05574246266724596,3.487843063266097e-05,0.000724626474535763,0.0009841176325172923,0.08534421001095914,0.9300930443595059,3.0834877226863484,0.11166736960668351,-0.023285268714470966,0.0009316395796201573,0.008856666504883468,0.0010158824624776103,0.23255358661990022,1.005702501218497,4.508242395111503,0.2631066095803282,0.1952211697602702,0.0010683605153747455,985,True,49,12,"['alpha_pos', 'alpha_neg', 'epsilon']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
10006,0.0010000000474974513,0.0010000000474974513,0.17445902526378632,0.9382660388946533,4.977294921875,0.19147376716136932,0.10153549909591675,0.0010000000474974513,443.1414489746094,902.2828979492188,941.4402582646866,902.4301372130225,0.5913224622077563,3.875099719152786e-05,inf,True,,5.278894876410264e-06,0.01761664208403887,0.02052148851572122,0.17547452908484362,0.03651166926519041,0.06087055784674031,6.852991578931014e-05,,0.000989653603661514,0.13993104125053749,0.8980446604946875,4.63337116466458,0.11991221038615811,-0.01776860200255624,0.0008656838806868406,,0.0010103464913333885,0.20898700927703515,0.9784874172946192,5.32121867908542,0.2630353239365805,0.22083960019438975,0.001134316214308062,987,True,48,9,"['alpha_pos', 'alpha_neg', 'epsilon']","[('alpha_pos', 'alpha_neg', 6.680337905883789), ('alpha_pos', 'phi', 20926.740234375), ('alpha_pos', 'rho', 232932.390625), ('alpha_pos', 'capacity', 223780.296875), ('alpha_pos', 'kappa_total', 91208.921875), ('alpha_pos', 'kappa_share', -60634.04296875), ('alpha_pos', 'epsilon', 385.8998718261719)]","v4.0-K[2,6]-phiapprox-stickbreaking"
10007,0.01015708688646555,0.0010000000474974513,0.4107670187950134,0.29027968645095825,2.3795347213745117,0.4264816641807556,0.6965234279632568,0.0010000000474974513,810.4634399414062,1636.9268798828125,1676.0842401982804,1637.074119146616,0.25256776617873167,5.222906838753261e-05,1159838464.0,True,0.001419531730484453,1.980814956998489e-06,0.1149707089812565,0.14548890755260382,1.791671722211715,0.031484574353285125,0.059270053566815833,3.835839519747069e-05,0.007374855819804203,0.000996117721521696,0.18542856991471496,0.005126667497777293,-1.132077326279302,0.3647730323797433,0.580356257610538,0.0009248189744056546,0.012939317953126896,0.0010038823734732066,0.636105467675312,0.5754327054041393,5.8911467690283255,0.48819029598176794,0.8126905983159757,0.001075181120589248,987,True,50,11,"['alpha_pos', 'alpha_neg', 'epsilon']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
10016,0.0010000000474974513,0.0010000000474974513,0.18796704709529877,0.9355857968330383,4.893946647644043,0.1374356746673584,0.3688257336616516,0.0010000001639127731,492.53387451171875,1001.0677490234375,1040.2251093389054,1001.2149882872412,0.5457713748499832,3.878530333167873e-05,2256624640.0,True,7.830749297913202e-06,6.410540003033265e-06,0.015874415014838807,0.021506281432258054,0.18353012245028405,0.03250048677635278,0.11277765942371822,4.8350594770400245e-05,0.000984652060901579,0.0009874356199700528,0.15685376539057283,0.89343425978443,4.53423421756326,0.07373589110568667,0.14778558293043967,0.000905234739531698,0.0010153480340933236,0.0010125644750248498,0.2190803288000247,0.9777373338816466,5.2536590777248255,0.20113545822903012,0.5898658843928636,0.0010947655882938482,987,True,50,2,"['alpha_pos', 'alpha_neg', 'epsilon']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
10017,0.0021217335015535355,0.0010000000474974513,0.009655769914388657,0.9006780982017517,4.999999523162842,0.08359263837337494,0.4692763686180115,0.0010000005131587386,468.86761474609375,953.7352294921875,992.8844803290086,953.8826194614812,0.5671585243033932,0.8612679839134216,3261300480.0,True,0.00248348423109482,4.016176059081399e-06,0.053516013478656844,0.028541852584586934,0.2058715208161374,0.028106340949172044,0.18030543211692585,8.252785487784636e-05,-0.0027458061475654607,0.0009921284870660798,-0.09523368909993885,0.8447370950839098,4.596498756920725,0.028505222375794413,0.11588421545190525,0.0008382488898768115,0.006989273150672532,0.0010078716079288228,0.11454522892871616,0.9566191013195936,5.403500289404959,0.13868005437095546,0.8226685217841176,0.0011617521364406657,986,False,48,3,"['alpha_pos', 'alpha_neg', 'phi', 'epsilon']",[],"v4.0-K[2,6]-phiapprox-stickbreaking"
