participant_id,n_trials,n_blocks,fit_time_s,is_first_fit,memory_before_mb,memory_after_mb,nll,converged
10000,988,17,152.04444964675162,False,3143.1328125,3277.22265625,757.8213500976562,True
9187,990,17,152.04444964675162,False,3143.1328125,3277.22265625,865.8909912109375,False
10002,986,17,152.04444964675162,False,3143.1328125,3277.22265625,579.0999145507812,True
10003,973,17,152.04444964675162,False,3143.1328125,3277.22265625,629.9745483398438,False
10004,990,17,152.04444964675162,False,3143.1328125,3277.22265625,415.0820007324219,True
10005,985,17,152.04444964675162,False,3143.1328125,3277.22265625,503.4208068847656,False
10006,987,17,152.04444964675162,False,3143.1328125,3277.22265625,452.353515625,True
10007,987,17,152.04444964675162,False,3143.1328125,3277.22265625,922.0172729492188,False
10016,987,17,152.04444964675162,False,3143.1328125,3277.22265625,504.5469665527344,True
10017,986,17,152.04444964675162,False,3143.1328125,3277.22265625,476.3433532714844,True
10018,986,17,152.04444964675162,False,3143.1328125,3277.22265625,644.6917724609375,True
10024,718,17,152.04444964675162,False,3143.1328125,3277.22265625,374.0868835449219,True
10025,414,17,152.04444964675162,False,3143.1328125,3277.22265625,253.1351318359375,False
10027,718,17,152.04444964675162,False,3143.1328125,3277.22265625,315.112548828125,True
10028,699,17,152.04444964675162,False,3143.1328125,3277.22265625,687.5186157226562,True
10029,720,17,152.04444964675162,False,3143.1328125,3277.22265625,319.40838623046875,True
10030,716,17,152.04444964675162,False,3143.1328125,3277.22265625,284.2800598144531,True
10031,719,17,152.04444964675162,False,3143.1328125,3277.22265625,427.63128662109375,True
10035,717,17,152.04444964675162,False,3143.1328125,3277.22265625,373.52410888671875,False
10036,713,17,152.04444964675162,False,3143.1328125,3277.22265625,518.4395141601562,True
10039,711,17,152.04444964675162,False,3143.1328125,3277.22265625,424.7940368652344,False
10041,696,17,152.04444964675162,False,3143.1328125,3277.22265625,659.5441284179688,True
10043,716,17,152.04444964675162,False,3143.1328125,3277.22265625,527.5745849609375,False
10047,717,17,152.04444964675162,False,3143.1328125,3277.22265625,464.3899841308594,True
10048,702,17,152.04444964675162,False,3143.1328125,3277.22265625,563.2220458984375,True
10050,717,17,152.04444964675162,False,3143.1328125,3277.22265625,447.07623291015625,True
10051,709,17,152.04444964675162,False,3143.1328125,3277.22265625,367.2821350097656,True
10052,709,17,152.04444964675162,False,3143.1328125,3277.22265625,530.9210205078125,False
10055,719,17,152.04444964675162,False,3143.1328125,3277.22265625,405.0546875,False
10057,712,17,152.04444964675162,False,3143.1328125,3277.22265625,518.0736083984375,True
10058,697,17,152.04444964675162,False,3143.1328125,3277.22265625,506.11444091796875,False
10059,718,17,152.04444964675162,False,3143.1328125,3277.22265625,365.4044494628906,True
10062,718,17,152.04444964675162,False,3143.1328125,3277.22265625,248.03001403808594,True
