Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,162,0.007,0.015,0.51,0.614,0.002,"[-0.021, 0.036]",0.040,0.892,False,0.791,0.0000,False,0.036,0.8497,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,162,-0.014,0.017,-0.83,0.408,0.004,"[-0.048, 0.020]",-0.066,0.815,False,0.803,0.0000,False,0.218,0.6406,True
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,162,-0.002,0.017,-0.14,0.886,0.000,"[-0.036, 0.031]",-0.011,0.943,False,0.775,0.0000,False,0.054,0.8169,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,162,-0.001,0.006,-0.13,0.897,0.000,"[-0.012, 0.011]",-0.010,0.943,False,0.775,0.0000,False,0.002,0.9673,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,162,-0.055,0.048,-1.15,0.254,0.008,"[-0.149, 0.040]",-0.090,0.815,False,0.810,0.0000,False,0.530,0.4667,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,162,-0.013,0.034,-0.37,0.714,0.001,"[-0.080, 0.055]",-0.029,0.928,False,0.783,0.0000,False,0.061,0.8049,True
alpha (Learning Rate) ~ IES-R Avoidance,alpha_mean,ies_avoidance,162,-0.001,0.001,-0.78,0.435,0.004,"[-0.004, 0.002]",-0.062,0.824,False,0.525,0.0000,False,1.050,0.3055,True
alpha (Learning Rate) ~ IES-R Hyperarousal,alpha_mean,ies_hyperarousal,162,-0.002,0.002,-1.53,0.128,0.014,"[-0.006, 0.001]",-0.120,0.766,False,0.549,0.0000,False,1.981,0.1593,True
alpha (Learning Rate) ~ IES-R Intrusion,alpha_mean,ies_intrusion,162,-0.000,0.002,-0.26,0.794,0.000,"[-0.004, 0.003]",-0.021,0.943,False,0.516,0.0000,False,0.143,0.7058,True
alpha (Learning Rate) ~ IES-R Total Score,alpha_mean,ies_total,162,-0.001,0.001,-0.92,0.358,0.005,"[-0.002, 0.001]",-0.073,0.815,False,0.531,0.0000,False,1.025,0.3114,True
alpha (Learning Rate) ~ LEC-5 Personal Events,alpha_mean,lec_personal_events,162,0.004,0.005,0.86,0.392,0.005,"[-0.005, 0.013]",0.068,0.815,False,0.520,0.0000,False,0.333,0.5642,True
alpha (Learning Rate) ~ LEC-5 Total Events,alpha_mean,lec_total_events,162,0.001,0.003,0.16,0.872,0.000,"[-0.006, 0.007]",0.013,0.943,False,0.512,0.0000,False,0.171,0.6789,True
epsilon (Random Responding) ~ IES-R Avoidance,epsilon_mean,ies_avoidance,162,0.000,0.001,0.31,0.761,0.001,"[-0.001, 0.001]",0.024,0.939,False,0.905,0.0000,False,0.066,0.7976,True
epsilon (Random Responding) ~ IES-R Hyperarousal,epsilon_mean,ies_hyperarousal,162,-0.000,0.001,-0.04,0.968,0.000,"[-0.001, 0.001]",-0.003,0.968,False,0.904,0.0000,False,1.291,0.2558,True
epsilon (Random Responding) ~ IES-R Intrusion,epsilon_mean,ies_intrusion,162,-0.000,0.001,-0.76,0.451,0.004,"[-0.002, 0.001]",-0.060,0.824,False,0.910,0.0000,False,1.205,0.2723,True
epsilon (Random Responding) ~ IES-R Total Score,epsilon_mean,ies_total,162,-0.000,0.000,-0.15,0.879,0.000,"[-0.000, 0.000]",-0.012,0.943,False,0.905,0.0000,False,0.763,0.3823,True
epsilon (Random Responding) ~ LEC-5 Personal Events,epsilon_mean,lec_personal_events,162,-0.004,0.002,-2.46,0.015*,0.037,"[-0.007, -0.001]",-0.191,0.312,False,0.914,0.0000,False,0.495,0.4817,True
epsilon (Random Responding) ~ LEC-5 Total Events,epsilon_mean,lec_total_events,162,-0.004,0.001,-3.66,0.0003***,0.077,"[-0.006, -0.002]",-0.278,0.014*,True,0.913,0.0000,False,1.579,0.2089,True
kappa (Perseveration) ~ IES-R Avoidance,kappa_mean,ies_avoidance,162,-0.005,0.005,-1.05,0.296,0.007,"[-0.015, 0.005]",-0.083,0.815,False,0.962,0.0002,False,0.260,0.6102,True
