model,aggregate_aic,delta_aic,relative_likelihood,aggregate_bic,delta_bic,akaike_weight,aic_rank,bic_rank
M6b,132030.38354492188,0.0,1.0,137229.27779409967,0.0,1.0,1,1
M6a,133306.09600830078,1275.7124633789062,9.606348316502621e-278,137762.29107902455,533.0132849248766,9.606348316502621e-278,3,2
M5,132865.28228759766,834.8987426757812,5.058730624102656e-182,138064.17653677543,834.8987426757521,5.058730624102656e-182,2,3
M3,134152.82833862305,2122.444793701172,0.0,138609.02340934682,1379.7456152471423,0.0,4,4
M2,137555.36856079102,5524.985015869141,0.0,141268.86445306084,4039.5866589611687,0.0,5,5
M1,143679.73281860352,11649.34927368164,0.0,145165.13117551143,7935.8533814117545,0.0,6,6
