dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa,recovered_kappa,true_epsilon,recovered_epsilon
0,0,128.0646514892578,True,0.7734081364588514,0.8625425696372986,0.43900068287254823,0.019715633243322372,0.8578807240715597,0.04128933325409889,0.6969732930012452,0.9990000128746033,1.5650640873258972,6.61813497543335,0.9756223516367559,0.9763734340667725,0.7606174225863722,0.636408269405365
0,1,969.90576171875,True,0.7854921766663999,0.9983260035514832,0.12885740541019478,0.2564399242401123,0.450485166019776,0.1309434175491333,0.37105642818411605,0.7006255388259888,6.560589933091611,6.810449123382568,0.6438651200806645,0.6350215673446655,0.8221160900442883,0.8197429180145264
0,2,919.0602416992188,True,0.4435273704296765,0.611792802810669,0.22778424434120734,0.1966872215270996,0.5544756174418032,0.9990000128746033,0.06468962159196698,0.8837705850601196,5.965787031955492,1.849072813987732,0.6316643991220648,0.6362602114677429,0.757571564605203,0.49334457516670227
0,3,917.7719116210938,True,0.3548169161936086,0.2864922881126404,0.9697566283461134,0.9990000128746033,0.8923348790795533,0.8579041957855225,0.7778267300796143,0.5400583148002625,2.1678322471118054,6.1860480308532715,0.4667210037270342,0.48135077953338623,0.04471615825565432,0.04116666316986084
0,4,1224.24560546875,True,0.15498091308341275,0.1750926822423935,0.6826828553359697,0.6153049468994141,0.7442726315960015,0.8176647424697876,0.9665747129693416,0.8780412077903748,2.9549521488289114,3.001242160797119,0.3704597060348689,0.32194188237190247,0.4696166996532563,0.4045341908931732
0,5,1064.405517578125,True,0.19009241636611712,0.11420490592718124,0.1306616623248007,0.045093972235918045,0.4757535163734819,0.6399827003479004,0.22745553035278235,0.5430033802986145,5.0188839680950625,5.148144721984863,0.43715191887233074,0.41146475076675415,0.8320128396657218,0.7809567451477051
0,6,1127.150146484375,True,0.6998645717982446,0.9632073640823364,0.312741908099277,0.1822156012058258,0.8315952817924107,0.7663578987121582,0.8041548287818082,0.6267391443252563,3.3248702741810465,3.772465705871582,0.2883281039302441,0.32099246978759766,0.6821305129670255,0.6781376600265503
0,7,810.3323974609375,True,0.14047297864209118,0.6960330009460449,0.2005083860701581,0.14760766923427582,0.0083475452115035,0.15668520331382751,0.7863505287471341,0.9990000128746033,4.989105139552192,2.99998140335083,0.7051653786263351,0.7192395925521851,0.780167572959924,0.7869336605072021
0,8,1148.68505859375,True,0.4589979439872633,0.40954023599624634,0.5686037135609879,0.6070291996002197,0.14051740413140212,0.22604352235794067,0.1153010133889015,0.21384789049625397,5.01041777074283,4.7869768142700195,0.4710962061431325,0.4458982050418854,0.5651056342682265,0.5031310319900513
0,9,1136.891845703125,True,0.7644688597011935,0.478961318731308,0.6344488833605896,0.7713184952735901,0.5534722418566799,0.5686421394348145,0.5590887464239227,0.695773720741272,2.823700588375673,2.673821449279785,0.030817834567939406,0.02632974646985531,0.4368439544538976,0.40395355224609375
0,10,862.1912231445312,True,0.21515550347389015,0.22839681804180145,0.40871158643718686,0.42119643092155457,0.8526962671216298,0.003077996661886573,0.23447160689361007,0.17966333031654358,1.349816450134396,3.6479671001434326,0.28138389202199654,0.2715827226638794,0.29400657025115023,0.3221447169780731
0,11,557.4243774414062,True,0.6615926816974412,0.9990000128746033,0.5569180880365958,0.7567747831344604,0.7833304126882007,0.8220324516296387,0.6639849132467328,0.8911218047142029,3.438321168640423,2.321457862854004,0.8140203846660347,0.8155807852745056,0.1676389740678885,0.1775144785642624
0,12,1111.94384765625,True,0.023666648987592756,0.020428918302059174,0.09086776505409047,0.08458269387483597,0.7219146318952574,0.6957433223724365,0.4619534757908846,0.4960845708847046,1.9676306742016108,2.124027967453003,0.5010447751033635,0.47039058804512024,0.15300747850774207,0.16966833174228668
0,13,849.7364501953125,True,0.6959277343275806,0.5963756442070007,0.4462639630228826,0.389740526676178,0.3812591836442895,0.2644861340522766,0.30190906496958075,0.33887436985969543,4.781695558713331,2.7915451526641846,0.3618126105533904,0.35661581158638,0.0884746194774688,0.13768370449543
0,14,164.4683837890625,True,0.11876989031627429,0.4520176351070404,0.9609738692204155,0.6737649440765381,0.9077635293261919,0.9990000128746033,0.6993077195431281,0.9990000128746033,2.5952197687571177,4.588837146759033,0.9691763773477239,0.971805989742279,0.778193402157863,0.6982811093330383
0,15,690.3906860351562,True,0.7164564087806776,0.5315514802932739,0.4494627791395011,0.405842125415802,0.2726970787214687,0.36426082253456116,0.0971981802291923,0.10406684130430222,6.41561437926305,6.460312843322754,0.45577628983361107,0.47568967938423157,0.20295863806563985,0.18871310353279114
0,16,752.1328735351562,True,0.3063447109023512,0.986172080039978,0.5790611298040121,0.2551230490207672,0.17741923737335324,0.21481828391551971,0.8559010555241907,0.8194202780723572,5.551117179011261,6.8996968269348145,0.7194629559509368,0.6900577545166016,0.4322288536955535,0.41620737314224243
0,17,1169.442626953125,True,0.6270542230210383,0.5730303525924683,0.5839297729749101,0.5988417267799377,0.6495469083517104,0.9021454453468323,0.08527543249760931,0.1627887636423111,3.4948444130236576,6.085836887359619,0.04161417386189248,0.0,0.49400283760602987,0.4292052686214447
0,18,312.6580505371094,True,0.33020148990811976,0.9990000128746033,0.14523514048831482,0.49607527256011963,0.10419616178710654,0.4562438130378723,0.5874692830333567,0.5650991797447205,2.0235578112213166,6.000016212463379,0.9251201183767972,0.91486656665802,0.5808990174209941,0.5280858874320984
0,19,375.5453186035156,True,0.3471760649257674,0.136135995388031,0.5907336604984539,0.9697186946868896,0.023758263287638103,0.01830351911485195,0.9576420948149624,0.8461984992027283,3.8938206216574014,6.818604946136475,0.7827352272502862,0.8089949488639832,0.08356453992259369,0.015985704958438873
0,20,1191.576904296875,True,0.486685014176484,0.6521239876747131,0.4907255803658119,0.42413395643234253,0.9369508020650329,0.8438273668289185,0.5715845962713232,0.6076626777648926,3.840936406341723,3.304739236831665,0.2669756630918936,0.26573604345321655,0.3319058593478671,0.3285246193408966
0,21,1250.51318359375,True,0.5206310576665947,0.7099171280860901,0.43903363738443657,0.6000333428382874,0.022568855720569766,0.1707032471895218,0.8256393403459691,0.7587671279907227,6.3769646310386,6.832513332366943,0.14024908899861077,0.1291044056415558,0.5539280712519713,0.5640164017677307
0,22,544.87841796875,True,0.10935858965317266,0.03912656381726265,0.6718956128537321,0.8010683655738831,0.2816713162713303,0.36238375306129456,0.659103789422518,0.6579570174217224,5.361967685721296,6.442474842071533,0.768647491917657,0.7804372906684875,0.10852546406398476,0.0010000000474974513
0,23,549.0418701171875,True,0.9151798214473327,0.7672154903411865,0.23075356291309104,0.6217692494392395,0.03833773106382742,0.9435760974884033,0.5547427644527004,0.0010000000474974513,3.2255337031746327,2.810185670852661,0.8297897431324132,0.8338243961334229,0.8076349691201732,0.7704192996025085
0,24,236.5631103515625,True,0.3175046150370699,0.4949144124984741,0.9519935962796054,0.9990000128746033,0.2913360024638384,0.6564406156539917,0.5150270149732511,0.7316272854804993,2.5357905434056165,1.4234118461608887,0.9360435700489633,0.9343502521514893,0.16527860194685412,0.0010000000474974513
0,25,424.2972717285156,True,0.04582079815354433,0.005540553946048021,0.4352268658830319,0.005820859223604202,0.9913908129277254,0.8192775249481201,0.8908939117224041,0.47266310453414917,5.491648116741695,2.1123476028442383,0.8907924908785249,0.8862672448158264,0.8926597464184675,0.0010000000474974513
0,26,1476.626953125,True,0.5188206436656762,0.27717456221580505,0.31629719372713144,0.3405150771141052,0.771468407246766,0.8279449343681335,0.6613379406414256,0.5628319382667542,3.2419463732422606,2.832857131958008,0.09446666806151527,0.10229750722646713,0.7462960321263279,0.6876817345619202
0,27,1042.7225341796875,True,0.262935594891019,0.2928881049156189,0.9359395242327117,0.9449731707572937,0.24148863385567337,0.2613816559314728,0.12351241654666305,0.19547298550605774,5.986676032749437,3.0015757083892822,0.15328431662449404,0.14497259259223938,0.1799097715414236,0.16642145812511444
0,28,156.82223510742188,True,0.5991840259378018,0.9990000128746033,0.8738129167557895,0.23030002415180206,0.1970417963831441,0.6955602169036865,0.3107030255542946,0.7246320843696594,5.664429029447065,2.459775447845459,0.9718264260609674,0.9628685116767883,0.5007397038299376,0.0010000000474974513
0,29,1228.761474609375,True,0.14460970754614827,0.13771876692771912,0.014908415132785142,0.009148620069026947,0.23019671793885754,0.13023808598518372,0.132558573350948,0.1864553838968277,5.065952041677145,4.999962329864502,0.12183250462853112,0.1107596755027771,0.5063172717573917,0.49109071493148804
0,30,625.1266479492188,True,0.6938739107716007,0.4670032858848572,0.5809543760024606,0.4770523011684418,0.2003761003567375,0.18049252033233643,0.8035162771298981,0.8625003695487976,5.29244277769481,5.4485182762146,0.7389840039155418,0.7222830653190613,0.1317956360541986,0.1504994034767151
0,31,871.353515625,True,0.12450629604304392,0.005804191343486309,0.9267074259044946,0.9990000128746033,0.39778303743729077,0.9990000128746033,0.3013467943973779,0.5783547759056091,3.9315042721092,3.9157912731170654,0.6628642127635824,0.6601623296737671,0.954712010532876,0.7877966165542603
0,32,795.4339599609375,True,0.2868733344282909,0.3493868112564087,0.9239588124534031,0.8447089791297913,0.025809772403483804,0.012605307623744011,0.555087646242171,0.637399435043335,4.8038506700865105,5.000002384185791,0.1058974037507533,0.1316554695367813,0.1410589178697848,0.0977182611823082
0,33,1101.74951171875,True,0.41927609067767124,0.0010000000474974513,0.9652994483188954,0.7275193929672241,0.5958504681279041,0.7489741444587708,0.9321571751570108,0.7794898152351379,5.826165493677824,6.00966739654541,0.4673816015552915,0.4713501036167145,0.784193922353683,0.6553848385810852
0,34,963.8091430664062,True,0.01880111040903376,0.06966197490692139,0.10992570877220346,0.38101717829704285,0.8287697576529709,0.8368805646896362,0.7962234541485114,0.9662211537361145,2.3958444517986024,2.3520591259002686,0.5307695905990535,0.5124344825744629,0.6058037890586109,0.5998035073280334
0,35,913.239501953125,True,0.8670034758684592,0.9990000128746033,0.6029009430240482,0.0010000000474974513,0.41274642613513296,0.692844569683075,0.3744356753203683,0.6709540486335754,3.5552925182410595,6.1127495765686035,0.6519310255799742,0.6786394715309143,0.8667556504888202,0.7224498987197876
0,36,769.8751831054688,True,0.4539890883121471,0.57701176404953,0.2483438838254554,0.23372645676136017,0.237189038271586,0.22982057929039001,0.7455222516829595,0.7461726665496826,5.899412580543462,7.0,0.10527807985412496,0.11470528692007065,0.06742573924126781,0.03527762368321419
0,37,216.0931396484375,True,0.5942447964289389,0.6905520558357239,0.1468808977043129,0.15628354251384735,0.8240148620754286,0.9006093740463257,0.3107140045762263,0.448739230632782,1.8632315978268559,1.6689947843551636,0.9209704724874502,0.9197700023651123,0.1662006592898076,0.2027875781059265
0,38,597.6878051757812,True,0.2851506421732597,0.2891194820404053,0.15430616840167452,0.16181635856628418,0.11625908353802426,0.6629728674888611,0.022105720303767156,0.044157374650239944,1.3323724549855607,1.5185683965682983,0.1746414709358527,0.17274965345859528,0.05427516876192104,0.05906246602535248
0,39,484.99908447265625,True,0.5909615284787493,0.9990000128746033,0.6803530977459074,0.9470115303993225,0.3938431959183642,0.9990000128746033,0.3183551147581453,0.6571336388587952,4.027157422133381,3.5486514568328857,0.8750049422346086,0.8504140973091125,0.8504293635685616,0.42864876985549927
0,40,821.7086791992188,True,0.04438811188876636,0.04274462163448334,0.18213541277733103,0.16019156575202942,0.23727138136218723,0.22399426996707916,0.2498888006805474,0.295343816280365,4.427395910456636,5.256723880767822,0.4162624257031923,0.43028196692466736,0.0501556116877388,0.04768143966794014
0,41,193.73016357421875,True,0.37386691018265245,0.18169474601745605,0.5237054428202019,0.3105030059814453,0.10246855909790854,0.037346646189689636,0.8327916366809825,0.6510599255561829,1.3117711987906255,1.74562668800354,0.9248418690180621,0.9341751933097839,0.09991491529671574,0.04828152805566788
0,42,907.6068725585938,True,0.8428878016945572,0.9990000128746033,0.9018478376397618,0.0010000000474974513,0.9786115392254195,0.9246218800544739,0.8014218285130463,0.7780951261520386,5.676865244627973,6.14979887008667,0.6424832759955477,0.6238842606544495,0.7784383618689728,0.9990000128746033
0,43,1092.37451171875,True,0.1352831039963208,0.2824096381664276,0.535995899875742,0.34912559390068054,0.5141944244500336,0.3523072600364685,0.8568569998343124,0.7083075642585754,3.776796193561095,3.920728921890259,0.3850894961003535,0.41149842739105225,0.6392841446946359,0.7337034940719604
0,44,974.5197143554688,True,0.26693039086584436,0.2275013029575348,0.14048887413204894,0.11461861431598663,0.47792151947569833,0.5148895382881165,0.41705558985769525,0.4422355890274048,2.395419643173242,3.4585978984832764,0.367511810115128,0.39056605100631714,0.3666596649265949,0.2929990291595459
0,45,268.08837890625,True,0.32784057328372035,0.9990000128746033,0.37970515156747514,0.009346484206616879,0.6853718587650335,0.0019571641460061073,0.29728272162214275,0.5290975570678711,6.693147560292043,6.066868782043457,0.9163480195381779,0.9110552072525024,0.4809486074434784,0.26875436305999756
0,46,950.3635864257812,True,0.32870448259467944,0.868493378162384,0.5353639202503432,0.8991161584854126,0.8478633677960773,0.3181929290294647,0.6522821658789818,0.9990000128746033,5.8263509676824645,3.0489892959594727,0.5327222760657402,0.47456875443458557,0.6326517940090854,0.6864064931869507
0,47,1204.4791259765625,True,0.2885793029540968,0.2098972052335739,0.7344233759856702,0.5612307786941528,0.2029997839394669,0.21077491343021393,0.6944085325608612,0.58998042345047,6.164314409955365,5.585108757019043,0.13210283730154393,0.13737225532531738,0.614150981060836,0.5785361528396606
0,48,190.1908416748047,True,0.09590555673347474,0.892370879650116,0.725264197014884,0.014211969450116158,0.0853242323858732,0.6462807059288025,0.9350679430552248,0.48162439465522766,1.824447580226813,6.478022575378418,0.9588802459090804,0.957743227481842,0.8002824077329265,0.45385822653770447
0,49,839.3246459960938,True,0.5934946404574214,0.47306981682777405,0.7820588564202878,0.498083233833313,0.7945246093051197,0.8140550255775452,0.9451350086916956,0.9427410960197449,2.520300123035123,2.551558494567871,0.5900758953583092,0.5956469774246216,0.09585909916927242,0.0721108466386795
1,0,438.17413330078125,True,0.6641074136585181,0.20462194085121155,0.4803422958378181,0.5940630435943604,0.8994462114936767,0.9201950430870056,0.3086207474810451,0.5852408409118652,2.6749610393151078,3.352808952331543,0.8599944494071756,0.8728953003883362,0.2653644040386732,0.002851610304787755
