parameter,pearson_r,p_value,rmse,bias,pass_fail
alpha_pos,0.6352217727574042,2.5338536042673273e-18,0.27351499423913206,-0.008568889006352377,FAIL
alpha_neg,0.47774537015395746,6.327645738510697e-10,0.3058398086847539,-0.08319085470766531,FAIL
phi,0.5318236121354893,2.5061176644640185e-12,0.3095953004804344,0.061688213647015835,FAIL
rho,0.6563627606552667,7.65783982772685e-20,0.24482485315512975,0.05485556861840391,FAIL
capacity,0.29028548193757797,0.0003140513683902036,2.089801709156554,0.2722432589404238,FAIL
kappa,0.9975491542983709,7.299985411622186e-173,0.02033442013025496,-0.0009669018979213055,PASS
epsilon,0.7724227044166226,5.595075488386705e-31,0.21486566522705097,-0.10170636437554312,FAIL
