draw_idx,accuracy,below_chance,at_ceiling
0,0.91480446,0,0
1,0.914446,0,0
2,0.92318434,0,0
3,0.8286908,0,0
4,0.85614526,0,0
5,0.76290095,0,0
6,0.6429568,0,0
7,0.858156,0,0
8,0.91922003,0,0
9,0.70014143,0,0
10,0.875,0,0
11,0.92597765,0,0
12,0.8909091,0,0
13,0.71708685,0,0
14,0.74512535,0,0
15,0.7475456,0,0
16,0.6760563,0,0
17,0.9189944,0,0
18,0.8820225,0,0
19,0.9095967,0,0
20,0.7751397,0,0
21,0.67318434,0,0
22,0.5935754,0,0
23,0.7413074,0,0
24,0.9308886,0,0
25,0.40642458,0,0
26,0.9027356,0,0
27,0.8774648,0,0
28,0.866571,0,0
29,0.5913529,0,0
30,0.867688,0,0
31,0.9142857,0,0
32,0.88434416,0,0
33,0.91477275,0,0
34,0.71791255,0,0
35,0.7815126,0,0
36,0.9062937,0,0
37,0.7228412,0,0
38,0.76643354,0,0
39,0.698727,0,0
40,0.49442896,0,0
41,0.7776224,0,0
42,0.7282828,0,0
43,0.8701117,0,0
44,0.81284916,0,0
45,0.8650904,0,0
46,0.8517482,0,0
47,0.7225352,0,0
48,0.93846154,0,0
49,0.7306065,0,0
50,0.8859527,0,0
51,0.91655076,0,0
52,0.6727528,0,0
53,0.7885154,0,0
54,0.9095967,0,0
55,0.87657785,0,0
56,0.674581,0,0
57,0.9220056,0,0
58,0.83169705,0,0
59,0.8647887,0,0
60,0.6634214,0,0
61,0.93914807,0,0
62,0.9340814,0,0
63,0.8162693,0,0
64,0.718663,0,0
65,0.9050279,0,0
66,0.58856344,0,0
67,0.92027974,0,0
68,0.4958217,0,0
69,0.7152778,0,0
70,0.60504204,0,0
71,0.8352113,0,0
72,0.7894003,0,0
73,0.7472067,0,0
74,0.65594405,0,0
75,0.9312763,0,0
76,0.79218966,0,0
77,0.8328652,0,0
78,0.93194443,0,0
79,0.8331015,0,0
80,0.85393256,0,0
81,0.70292884,0,0
82,0.801217,0,0
83,0.9016854,0,0
84,0.8487395,0,0
85,0.83074754,0,0
86,0.66852367,0,0
87,0.72370267,0,0
88,0.63590264,0,0
89,0.7929078,0,0
90,0.82172704,0,0
91,0.9273743,0,0
92,0.8643006,0,0
93,0.8946629,0,0
94,0.9235049,0,0
95,0.9317549,0,0
96,0.76511955,0,0
97,0.7986014,0,0
98,0.8849432,0,0
99,0.7802504,0,0
100,0.83055556,0,0
101,0.50625867,0,0
102,0.8479777,0,0
103,0.86230874,0,0
104,0.9322034,0,0
105,0.7228412,0,0
106,0.91230553,0,0
107,0.5340751,0,0
108,0.5215517,0,0
109,0.73852575,0,0
110,0.9249743,0,0
111,0.7009736,0,0
112,0.7952314,0,0
113,0.91101694,0,0
114,0.46143058,0,0
115,0.9328671,0,0
116,0.8581461,0,0
117,0.90125173,0,0
118,0.8965035,0,0
119,0.715505,0,0
120,0.93045896,0,0
121,0.88718665,0,0
122,0.8589386,0,0
123,0.7401015,0,0
124,0.924581,0,0
125,0.71468925,0,0
126,0.5682451,0,0
127,0.82892907,0,0
128,0.8974719,0,0
129,0.627972,0,0
130,0.45174825,0,0
131,0.7236111,0,0
132,0.68941504,0,0
133,0.6657343,0,0
134,0.73055553,0,0
135,0.83502024,0,0
136,0.6556196,0,0
137,0.58790433,0,0
138,0.891516,0,0
139,0.82865167,0,0
140,0.63224894,0,0
141,0.77374303,0,0
142,0.6792717,0,0
143,0.9220056,0,0
144,0.8160329,0,0
145,0.80364656,0,0
146,0.8767507,0,0
147,0.59353024,0,0
148,0.81882024,0,0
149,0.8934081,0,0
150,0.61290324,0,0
151,0.9270687,0,0
152,0.6522346,0,0
153,0.78340364,0,0
